Encompass Health Rehabilitation Hospital of Panama City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY NATIONAL (CHCN) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$23403.48,$28330.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24635.25,NA,NA,NA,NA,NA,NA,NA,$24635.25,NA,NA,$28330.53,$24635.25,NA,$24635.25,$24635.25,NA,$23403.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$18200.48,$22032.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19158.40,NA,NA,NA,NA,NA,NA,NA,$19158.40,NA,NA,$22032.16,$19158.40,NA,$19158.40,$19158.40,NA,$18200.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$17946.22,$21724.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18890.75,NA,NA,NA,NA,NA,NA,NA,$18890.75,NA,NA,$21724.37,$18890.75,NA,$18890.75,$18890.75,NA,$17946.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$27060.82,$32757.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28485.07,NA,NA,NA,NA,NA,NA,NA,$28485.07,NA,NA,$32757.83,$28485.07,NA,$28485.07,$28485.07,NA,$27060.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$37261.42,$45105.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39222.54,NA,NA,NA,NA,NA,NA,NA,$39222.54,NA,NA,$45105.92,$39222.54,NA,$39222.54,$39222.54,NA,$37261.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$28977.11,$35077.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30502.22,NA,NA,NA,NA,NA,NA,NA,$30502.22,NA,NA,$35077.56,$30502.22,NA,$30502.22,$30502.22,NA,$28977.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$28572.02,$34587.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30075.81,NA,NA,NA,NA,NA,NA,NA,$30075.81,NA,NA,$34587.18,$30075.81,NA,$30075.81,$30075.81,NA,$28572.02,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$39841.37,$48229.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41938.29,NA,NA,NA,NA,NA,NA,NA,$41938.29,NA,NA,$48229.03,$41938.29,NA,$41938.29,$41938.29,NA,$39841.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$54858.56,$66407.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57745.85,NA,NA,NA,NA,NA,NA,NA,$57745.85,NA,NA,$66407.73,$57745.85,NA,$57745.85,$57745.85,NA,$54858.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$42662.66,$51644.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44908.07,NA,NA,NA,NA,NA,NA,NA,$44908.07,NA,NA,$51644.28,$44908.07,NA,$44908.07,$44908.07,NA,$42662.66,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$42066.51,$50922.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44280.54,NA,NA,NA,NA,NA,NA,NA,$44280.54,NA,NA,$50922.62,$44280.54,NA,$44280.54,$44280.54,NA,$42066.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$11897.11,$14401.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12523.27,NA,NA,NA,NA,NA,NA,NA,$12523.27,NA,NA,$14401.76,$12523.27,NA,$12523.27,$12523.27,NA,$11897.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$17407.53,$21072.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18323.71,NA,NA,NA,NA,NA,NA,NA,$18323.71,NA,NA,$21072.27,$18323.71,NA,$18323.71,$18323.71,NA,$17407.53,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$14125.12,$17098.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14868.55,NA,NA,NA,NA,NA,NA,NA,$14868.55,NA,NA,$17098.83,$14868.55,NA,$14868.55,$14868.55,NA,$14125.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$12935.70,$15659.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13616.52,NA,NA,NA,NA,NA,NA,NA,$13616.52,NA,NA,$15659.00,$13616.52,NA,$13616.52,$13616.52,NA,$12935.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$14626.46,$17705.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15396.27,NA,NA,NA,NA,NA,NA,NA,$15396.27,NA,NA,$17705.71,$15396.27,NA,$15396.27,$15396.27,NA,$14626.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$21402.44,$25908.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22528.88,NA,NA,NA,NA,NA,NA,NA,$22528.88,NA,NA,$25908.21,$22528.88,NA,$22528.88,$22528.88,NA,$21402.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$17367.30,$21023.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18281.37,NA,NA,NA,NA,NA,NA,NA,$18281.37,NA,NA,$21023.58,$18281.37,NA,$18281.37,$18281.37,NA,$17367.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$15904.95,$19253.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16742.05,NA,NA,NA,NA,NA,NA,NA,$16742.05,NA,NA,$19253.36,$16742.05,NA,$16742.05,$16742.05,NA,$15904.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$17312.72,$20957.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18223.91,NA,NA,NA,NA,NA,NA,NA,$18223.91,NA,NA,$20957.50,$18223.91,NA,$18223.91,$18223.91,NA,$17312.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$25331.27,$30664.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26664.49,NA,NA,NA,NA,NA,NA,NA,$26664.49,NA,NA,$30664.17,$26664.49,NA,$26664.49,$26664.49,NA,$25331.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-C,NA,NA,$20554.90,$24882.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21636.74,NA,NA,NA,NA,NA,NA,NA,$21636.74,NA,NA,$24882.25,$21636.74,NA,$21636.74,$21636.74,NA,$20554.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-D,NA,NA,$18825.35,$22788.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19816.16,NA,NA,NA,NA,NA,NA,NA,$19816.16,NA,NA,$22788.59,$19816.16,NA,$19816.16,$19816.16,NA,$18825.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-A,NA,NA,$19484.71,$23586.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20510.22,NA,NA,NA,NA,NA,NA,NA,$20510.22,NA,NA,$23586.75,$20510.22,NA,$20510.22,$20510.22,NA,$19484.71,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-B,NA,NA,$28510.25,$34512.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30010.79,NA,NA,NA,NA,NA,NA,NA,$30010.79,NA,NA,$34512.41,$30010.79,NA,$30010.79,$30010.79,NA,$28510.25,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-C,NA,NA,$23133.42,$28003.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24350.97,NA,NA,NA,NA,NA,NA,NA,$24350.97,NA,NA,$28003.62,$24350.97,NA,$24350.97,$24350.97,NA,$23133.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-D,NA,NA,$21186.96,$25647.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22302.07,NA,NA,NA,NA,NA,NA,NA,$22302.07,NA,NA,$25647.38,$22302.07,NA,$22302.07,$22302.07,NA,$21186.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-A,NA,NA,$20948.50,$25358.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22051.06,NA,NA,NA,NA,NA,NA,NA,$22051.06,NA,NA,$25358.71,$22051.06,NA,$22051.06,$22051.06,NA,$20948.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-B,NA,NA,$30652.07,$37105.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32265.34,NA,NA,NA,NA,NA,NA,NA,$32265.34,NA,NA,$37105.14,$32265.34,NA,$32265.34,$32265.34,NA,$30652.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-C,NA,NA,$24873.03,$30109.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26182.13,NA,NA,NA,NA,NA,NA,NA,$26182.13,NA,NA,$30109.45,$26182.13,NA,$26182.13,$26182.13,NA,$24873.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-D,NA,NA,$22780.04,$27575.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23978.99,NA,NA,NA,NA,NA,NA,NA,$23978.99,NA,NA,$27575.84,$23978.99,NA,$23978.99,$23978.99,NA,$22780.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-A,NA,NA,$16192.25,$19601.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17044.47,NA,NA,NA,NA,NA,NA,NA,$17044.47,NA,NA,$19601.14,$17044.47,NA,$17044.47,$17044.47,NA,$16192.25,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-B,NA,NA,$25904.43,$31358.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27267.83,NA,NA,NA,NA,NA,NA,NA,$27267.83,NA,NA,$31358.00,$27267.83,NA,$27267.83,$27267.83,NA,$25904.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-C,NA,NA,$19695.87,$23842.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20732.50,NA,NA,NA,NA,NA,NA,NA,$20732.50,NA,NA,$23842.37,$20732.50,NA,$20732.50,$20732.50,NA,$19695.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-D,NA,NA,$16192.25,$19601.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17044.47,NA,NA,NA,NA,NA,NA,NA,$17044.47,NA,NA,$19601.14,$17044.47,NA,$17044.47,$17044.47,NA,$16192.25,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-A,NA,NA,$21599.24,$26146.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22736.04,NA,NA,NA,NA,NA,NA,NA,$22736.04,NA,NA,$26146.45,$22736.04,NA,$22736.04,$22736.04,NA,$21599.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-B,NA,NA,$34555.05,$41829.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36373.73,NA,NA,NA,NA,NA,NA,NA,$36373.73,NA,NA,$41829.79,$36373.73,NA,$36373.73,$36373.73,NA,$34555.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-C,NA,NA,$26272.18,$31803.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27654.92,NA,NA,NA,NA,NA,NA,NA,$27654.92,NA,NA,$31803.16,$27654.92,NA,$27654.92,$27654.92,NA,$26272.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-D,NA,NA,$21599.24,$26146.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22736.04,NA,NA,NA,NA,NA,NA,NA,$22736.04,NA,NA,$26146.45,$22736.04,NA,$22736.04,$22736.04,NA,$21599.24,NA,NA,NA
