Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$24674.72,$30164.82,NA,$52203.67,NA,NA,NA,$52203.67,NA,$49593.48,$49593.48,$50115.52,NA,NA,$52203.67,$52203.67,NA,NA,NA,$52203.67,NA,NA,NA,NA,NA,NA,NA,NA,$52203.67,NA,$52203.67,$52203.67,NA,$52203.67,NA,NA,$60034.22,NA,NA,$52203.67,NA,$52203.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$35458.20,$43347.60,NA,$75017.99,NA,NA,NA,$75017.99,NA,$71267.09,$71267.09,$72017.26,NA,NA,$75017.99,$75017.99,NA,NA,NA,$75017.99,NA,NA,NA,NA,NA,NA,NA,NA,$75017.99,NA,$75017.99,$75017.99,NA,$75017.99,NA,NA,$86270.68,NA,NA,$75017.99,NA,$75017.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$29278.77,$35793.26,NA,$61944.33,NA,NA,NA,$61944.33,NA,$58847.11,$58847.11,$59466.56,NA,NA,$61944.33,$61944.33,NA,NA,NA,$61944.33,NA,NA,NA,NA,NA,NA,NA,NA,$61944.33,NA,$61944.33,$61944.33,NA,$61944.33,NA,NA,$71235.98,NA,NA,$61944.33,NA,$61944.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$27794.54,$33978.78,NA,$58804.18,NA,NA,NA,$58804.18,NA,$55863.97,$55863.97,$56452.01,NA,NA,$58804.18,$58804.18,NA,NA,NA,$58804.18,NA,NA,NA,NA,NA,NA,NA,NA,$58804.18,NA,$58804.18,$58804.18,NA,$58804.18,NA,NA,$67624.80,NA,NA,$58804.18,NA,$58804.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$24984.30,$30543.27,NA,$52858.63,NA,NA,NA,$52858.63,NA,$50215.70,$50215.70,$50744.28,NA,NA,$52858.63,$52858.63,NA,NA,NA,$52858.63,NA,NA,NA,NA,NA,NA,NA,NA,$52858.63,NA,$52858.63,$52858.63,NA,$52858.63,NA,NA,$60787.42,NA,NA,$52858.63,NA,$52858.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$35903.64,$43892.15,NA,$75960.39,NA,NA,NA,$75960.39,NA,$72162.38,$72162.38,$72921.98,NA,NA,$75960.39,$75960.39,NA,NA,NA,$75960.39,NA,NA,NA,NA,NA,NA,NA,NA,$75960.39,NA,$75960.39,$75960.39,NA,$75960.39,NA,NA,$87354.45,NA,NA,$75960.39,NA,$75960.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$29645.10,$36241.09,NA,$62719.35,NA,NA,NA,$62719.35,NA,$59583.39,$59583.39,$60210.58,NA,NA,$62719.35,$62719.35,NA,NA,NA,$62719.35,NA,NA,NA,NA,NA,NA,NA,NA,$62719.35,NA,$62719.35,$62719.35,NA,$62719.35,NA,NA,$72127.26,NA,NA,$62719.35,NA,$62719.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$28141.95,$34403.49,NA,$59539.18,NA,NA,NA,$59539.18,NA,$56562.23,$56562.23,$57157.62,NA,NA,$59539.18,$59539.18,NA,NA,NA,$59539.18,NA,NA,NA,NA,NA,NA,NA,NA,$59539.18,NA,$59539.18,$59539.18,NA,$59539.18,NA,NA,$68470.06,NA,NA,$59539.18,NA,$59539.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$13045.08,$15947.59,NA,$27599.13,NA,NA,NA,$27599.13,NA,$26219.18,$26219.18,$26495.17,NA,NA,$27599.13,$27599.13,NA,NA,NA,$27599.13,NA,NA,NA,NA,NA,NA,NA,NA,$27599.13,NA,$27599.13,$27599.13,NA,$27599.13,NA,NA,$31739.00,NA,NA,$27599.13,NA,$27599.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$19702.63,$24086.44,NA,$41684.34,NA,NA,NA,$41684.34,NA,$39600.12,$39600.12,$40016.97,NA,NA,$41684.34,$41684.34,NA,NA,NA,$41684.34,NA,NA,NA,NA,NA,NA,NA,NA,$41684.34,NA,$41684.34,$41684.34,NA,$41684.34,NA,NA,$47936.99,NA,NA,$41684.34,NA,$41684.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$16152.85,$19746.84,NA,$34174.17,NA,NA,NA,$34174.17,NA,$32465.46,$32465.46,$32807.20,NA,NA,$34174.17,$34174.17,NA,NA,NA,$34174.17,NA,NA,NA,NA,NA,NA,NA,NA,$34174.17,NA,$34174.17,$34174.17,NA,$34174.17,NA,NA,$39300.30,NA,NA,$34174.17,NA,$34174.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$14579.19,$17823.04,NA,$30844.81,NA,NA,NA,$30844.81,NA,$29302.57,$29302.57,$29611.01,NA,NA,$30844.81,$30844.81,NA,NA,NA,$30844.81,NA,NA,NA,NA,NA,NA,NA,NA,$30844.81,NA,$30844.81,$30844.81,NA,$30844.81,NA,NA,$35471.53,NA,NA,$30844.81,NA,$30844.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$16388.47,$20034.89,NA,$34672.67,NA,NA,NA,$34672.67,NA,$32939.03,$32939.03,$33285.76,NA,NA,$34672.67,$34672.67,NA,NA,NA,$34672.67,NA,NA,NA,NA,NA,NA,NA,NA,$34672.67,NA,$34672.67,$34672.67,NA,$34672.67,NA,NA,$39873.57,NA,NA,$34672.67,NA,$34672.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$24750.40,$30257.33,NA,$52363.77,NA,NA,NA,$52363.77,NA,$49745.58,$49745.58,$50269.22,NA,NA,$52363.77,$52363.77,NA,NA,NA,$52363.77,NA,NA,NA,NA,NA,NA,NA,NA,$52363.77,NA,$52363.77,$52363.77,NA,$52363.77,NA,NA,$60218.34,NA,NA,$52363.77,NA,$52363.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$20292.54,$24807.60,NA,$42932.40,NA,NA,NA,$42932.40,NA,$40785.78,$40785.78,$41215.10,NA,NA,$42932.40,$42932.40,NA,NA,NA,$42932.40,NA,NA,NA,NA,NA,NA,NA,NA,$42932.40,NA,$42932.40,$42932.40,NA,$42932.40,NA,NA,$49372.25,NA,NA,$42932.40,NA,$42932.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$18316.43,$22391.81,NA,$38751.59,NA,NA,NA,$38751.59,NA,$36814.01,$36814.01,$37201.52,NA,NA,$38751.59,$38751.59,NA,NA,NA,$38751.59,NA,NA,NA,NA,NA,NA,NA,NA,$38751.59,NA,$38751.59,$38751.59,NA,$38751.59,NA,NA,$44564.33,NA,NA,$38751.59,NA,$38751.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$19898.69,$24326.13,NA,$42099.14,NA,NA,NA,$42099.14,NA,$39994.19,$39994.19,$40415.18,NA,NA,$42099.14,$42099.14,NA,NA,NA,$42099.14,NA,NA,NA,NA,NA,NA,NA,NA,$42099.14,NA,$42099.14,$42099.14,NA,$42099.14,NA,NA,$48414.02,NA,NA,$42099.14,NA,$42099.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$30052.70,$36739.39,NA,$63581.71,NA,NA,NA,$63581.71,NA,$60402.63,$60402.63,$61038.45,NA,NA,$63581.71,$63581.71,NA,NA,NA,$63581.71,NA,NA,NA,NA,NA,NA,NA,NA,$63581.71,NA,$63581.71,$63581.71,NA,$63581.71,NA,NA,$73118.98,NA,NA,$63581.71,NA,$63581.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$24638.61,$30120.66,NA,$52127.25,NA,NA,NA,$52127.25,NA,$49520.90,$49520.90,$50042.17,NA,NA,$52127.25,$52127.25,NA,NA,NA,$52127.25,NA,NA,NA,NA,NA,NA,NA,NA,$52127.25,NA,$52127.25,$52127.25,NA,$52127.25,NA,NA,$59946.34,NA,NA,$52127.25,NA,$52127.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$22239.41,$27187.65,NA,$47051.35,NA,NA,NA,$47051.35,NA,$44698.78,$44698.78,$45169.29,NA,NA,$47051.35,$47051.35,NA,NA,NA,$47051.35,NA,NA,NA,NA,NA,NA,NA,NA,$47051.35,NA,$47051.35,$47051.35,NA,$47051.35,NA,NA,$54109.04,NA,NA,$47051.35,NA,$47051.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$23372.79,$28573.21,NA,$49449.21,NA,NA,NA,$49449.21,NA,$46976.75,$46976.75,$47471.24,NA,NA,$49449.21,$49449.21,NA,NA,NA,$49449.21,NA,NA,NA,NA,NA,NA,NA,NA,$49449.21,NA,$49449.21,$49449.21,NA,$49449.21,NA,NA,$56866.59,NA,NA,$49449.21,NA,$49449.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$35298.25,$43152.07,NA,$74679.59,NA,NA,NA,$74679.59,NA,$70945.61,$70945.61,$71692.41,NA,NA,$74679.59,$74679.59,NA,NA,NA,$74679.59,NA,NA,NA,NA,NA,NA,NA,NA,$74679.59,NA,$74679.59,$74679.59,NA,$74679.59,NA,NA,$85881.53,NA,NA,$74679.59,NA,$74679.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$28939.96,$35379.06,NA,$61227.51,NA,NA,NA,$61227.51,NA,$58166.14,$58166.14,$58778.41,NA,NA,$61227.51,$61227.51,NA,NA,NA,$61227.51,NA,NA,NA,NA,NA,NA,NA,NA,$61227.51,NA,$61227.51,$61227.51,NA,$61227.51,NA,NA,$70411.64,NA,NA,$61227.51,NA,$61227.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$26121.12,$31933.03,NA,$55263.77,NA,NA,NA,$55263.77,NA,$52500.58,$52500.58,$53053.22,NA,NA,$55263.77,$55263.77,NA,NA,NA,$55263.77,NA,NA,NA,NA,NA,NA,NA,NA,$55263.77,NA,$55263.77,$55263.77,NA,$55263.77,NA,NA,$63553.33,NA,NA,$55263.77,NA,$55263.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$15929.27,$19473.52,NA,$33701.15,NA,NA,NA,$33701.15,NA,$32016.09,$32016.09,$32353.10,NA,NA,$33701.15,$33701.15,NA,NA,NA,$33701.15,NA,NA,NA,NA,NA,NA,NA,NA,$33701.15,NA,$33701.15,$33701.15,NA,$33701.15,NA,NA,$38756.32,NA,NA,$33701.15,NA,$33701.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$22194.70,$27132.99,NA,$46956.74,NA,NA,NA,$46956.74,NA,$44608.91,$44608.91,$45078.47,NA,NA,$46956.74,$46956.74,NA,NA,NA,$46956.74,NA,NA,NA,NA,NA,NA,NA,NA,$46956.74,NA,$46956.74,$46956.74,NA,$46956.74,NA,NA,$54000.25,NA,NA,$46956.74,NA,$46956.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$17774.68,$21729.52,NA,$37605.41,NA,NA,NA,$37605.41,NA,$35725.15,$35725.15,$36101.20,NA,NA,$37605.41,$37605.41,NA,NA,NA,$37605.41,NA,NA,NA,NA,NA,NA,NA,NA,$37605.41,NA,$37605.41,$37605.41,NA,$37605.41,NA,NA,$43246.23,NA,NA,$37605.41,NA,$37605.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$16605.18,$20299.81,NA,$35131.13,NA,NA,NA,$35131.13,NA,$33374.58,$33374.58,$33725.89,NA,NA,$35131.13,$35131.13,NA,NA,NA,$35131.13,NA,NA,NA,NA,NA,NA,NA,NA,$35131.13,NA,$35131.13,$35131.13,NA,$35131.13,NA,NA,$40400.81,NA,NA,$35131.13,NA,$35131.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$19642.43,$24012.85,NA,$41556.99,NA,NA,NA,$41556.99,NA,$39479.13,$39479.13,$39894.71,NA,NA,$41556.99,$41556.99,NA,NA,NA,$41556.99,NA,NA,NA,NA,NA,NA,NA,NA,$41556.99,NA,$41556.99,$41556.99,NA,$41556.99,NA,NA,$47790.53,NA,NA,$41556.99,NA,$41556.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$27368.01,$33457.36,NA,$57901.79,NA,NA,NA,$57901.79,NA,$55006.70,$55006.70,$55585.72,NA,NA,$57901.79,$57901.79,NA,NA,NA,$57901.79,NA,NA,NA,NA,NA,NA,NA,NA,$57901.79,NA,$57901.79,$57901.79,NA,$57901.79,NA,NA,$66587.06,NA,NA,$57901.79,NA,$57901.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$21917.80,$26794.48,NA,$46370.92,NA,NA,NA,$46370.92,NA,$44052.37,$44052.37,$44516.08,NA,NA,$46370.92,$46370.92,NA,NA,NA,$46370.92,NA,NA,NA,NA,NA,NA,NA,NA,$46370.92,NA,$46370.92,$46370.92,NA,$46370.92,NA,NA,$53326.55,NA,NA,$46370.92,NA,$46370.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$20476.56,$25032.57,NA,$43321.73,NA,NA,NA,$43321.73,NA,$41155.64,$41155.64,$41588.87,NA,NA,$43321.73,$43321.73,NA,NA,NA,$43321.73,NA,NA,NA,NA,NA,NA,NA,NA,$43321.73,NA,$43321.73,$43321.73,NA,$43321.73,NA,NA,$49819.99,NA,NA,$43321.73,NA,$43321.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$22806.96,$27881.48,NA,$48252.10,NA,NA,NA,$48252.10,NA,$45839.49,$45839.49,$46322.02,NA,NA,$48252.10,$48252.10,NA,NA,NA,$48252.10,NA,NA,NA,NA,NA,NA,NA,NA,$48252.10,NA,$48252.10,$48252.10,NA,$48252.10,NA,NA,$55489.91,NA,NA,$48252.10,NA,$48252.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$31775.99,$38846.11,NA,$67227.64,NA,NA,NA,$67227.64,NA,$63866.26,$63866.26,$64538.54,NA,NA,$67227.64,$67227.64,NA,NA,NA,$67227.64,NA,NA,NA,NA,NA,NA,NA,NA,$67227.64,NA,$67227.64,$67227.64,NA,$67227.64,NA,NA,$77311.79,NA,NA,$67227.64,NA,$67227.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$25446.94,$31108.85,NA,$53837.42,NA,NA,NA,$53837.42,NA,$51145.55,$51145.55,$51683.92,NA,NA,$53837.42,$53837.42,NA,NA,NA,$53837.42,NA,NA,NA,NA,NA,NA,NA,NA,$53837.42,NA,$53837.42,$53837.42,NA,$53837.42,NA,NA,$61913.04,NA,NA,$53837.42,NA,$53837.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$23773.52,$29063.10,NA,$50297.02,NA,NA,NA,$50297.02,NA,$47782.17,$47782.17,$48285.14,NA,NA,$50297.02,$50297.02,NA,NA,NA,$50297.02,NA,NA,NA,NA,NA,NA,NA,NA,$50297.02,NA,$50297.02,$50297.02,NA,$50297.02,NA,NA,$57841.57,NA,NA,$50297.02,NA,$50297.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$26442.73,$32326.21,NA,$55944.19,NA,NA,NA,$55944.19,NA,$53146.99,$53146.99,$53706.43,NA,NA,$55944.19,$55944.19,NA,NA,NA,$55944.19,NA,NA,NA,NA,NA,NA,NA,NA,$55944.19,NA,$55944.19,$55944.19,NA,$55944.19,NA,NA,$64335.83,NA,NA,$55944.19,NA,$55944.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$36840.96,$45038.03,NA,$77943.46,NA,NA,NA,$77943.46,NA,$74046.29,$74046.29,$74825.72,NA,NA,$77943.46,$77943.46,NA,NA,NA,$77943.46,NA,NA,NA,NA,NA,NA,NA,NA,$77943.46,NA,$77943.46,$77943.46,NA,$77943.46,NA,NA,$89634.98,NA,NA,$77943.46,NA,$77943.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$29502.35,$36066.58,NA,$62417.35,NA,NA,NA,$62417.35,NA,$59296.48,$59296.48,$59920.66,NA,NA,$62417.35,$62417.35,NA,NA,NA,$62417.35,NA,NA,NA,NA,NA,NA,NA,NA,$62417.35,NA,$62417.35,$62417.35,NA,$62417.35,NA,NA,$71779.95,NA,NA,$62417.35,NA,$62417.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$27564.08,$33697.05,NA,$58316.60,NA,NA,NA,$58316.60,NA,$55400.77,$55400.77,$55983.93,NA,NA,$58316.60,$58316.60,NA,NA,NA,$58316.60,NA,NA,NA,NA,NA,NA,NA,NA,$58316.60,NA,$58316.60,$58316.60,NA,$58316.60,NA,NA,$67064.09,NA,NA,$58316.60,NA,$58316.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$13806.98,$16879.01,NA,$29211.06,NA,NA,NA,$29211.06,NA,$27750.51,$27750.51,$28042.61,NA,NA,$29211.06,$29211.06,NA,NA,NA,$29211.06,NA,NA,NA,NA,NA,NA,NA,NA,$29211.06,NA,$29211.06,$29211.06,NA,$29211.06,NA,NA,$33592.72,NA,NA,$29211.06,NA,$29211.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$17007.62,$20791.79,NA,$35982.58,NA,NA,NA,$35982.58,NA,$34183.45,$34183.45,$34543.28,NA,NA,$35982.58,$35982.58,NA,NA,NA,$35982.58,NA,NA,NA,NA,NA,NA,NA,NA,$35982.58,NA,$35982.58,$35982.58,NA,$35982.58,NA,NA,$41379.96,NA,NA,$35982.58,NA,$35982.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$17007.62,$20791.79,NA,$35982.58,NA,NA,NA,$35982.58,NA,$34183.45,$34183.45,$34543.28,NA,NA,$35982.58,$35982.58,NA,NA,NA,$35982.58,NA,NA,NA,NA,NA,NA,NA,NA,$35982.58,NA,$35982.58,$35982.58,NA,$35982.58,NA,NA,$41379.96,NA,NA,$35982.58,NA,$35982.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$15339.36,$18752.35,NA,$32453.09,NA,NA,NA,$32453.09,NA,$30830.43,$30830.43,$31154.97,NA,NA,$32453.09,$32453.09,NA,NA,NA,$32453.09,NA,NA,NA,NA,NA,NA,NA,NA,$32453.09,NA,$32453.09,$32453.09,NA,$32453.09,NA,NA,$37321.05,NA,NA,$32453.09,NA,$32453.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$15464.91,$18905.84,NA,$32718.72,NA,NA,NA,$32718.72,NA,$31082.77,$31082.77,$31409.96,NA,NA,$32718.72,$32718.72,NA,NA,NA,$32718.72,NA,NA,NA,NA,NA,NA,NA,NA,$32718.72,NA,$32718.72,$32718.72,NA,$32718.72,NA,NA,$37626.52,NA,NA,$32718.72,NA,$32718.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$19052.53,$23291.69,NA,$40308.93,NA,NA,NA,$40308.93,NA,$38293.49,$38293.49,$38696.58,NA,NA,$40308.93,$40308.93,NA,NA,NA,$40308.93,NA,NA,NA,NA,NA,NA,NA,NA,$40308.93,NA,$40308.93,$40308.93,NA,$40308.93,NA,NA,$46355.27,NA,NA,$40308.93,NA,$40308.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$19052.53,$23291.69,NA,$40308.93,NA,NA,NA,$40308.93,NA,$38293.49,$38293.49,$38696.58,NA,NA,$40308.93,$40308.93,NA,NA,NA,$40308.93,NA,NA,NA,NA,NA,NA,NA,NA,$40308.93,NA,$40308.93,$40308.93,NA,$40308.93,NA,NA,$46355.27,NA,NA,$40308.93,NA,$40308.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$17183.05,$21006.25,NA,$36353.73,NA,NA,NA,$36353.73,NA,$34536.04,$34536.04,$34899.57,NA,NA,$36353.73,$36353.73,NA,NA,NA,$36353.73,NA,NA,NA,NA,NA,NA,NA,NA,$36353.73,NA,$36353.73,$36353.73,NA,$36353.73,NA,NA,$41806.78,NA,NA,$36353.73,NA,$36353.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$18899.46,$23104.56,NA,$39985.09,NA,NA,NA,$39985.09,NA,$37985.84,$37985.84,$38385.69,NA,NA,$39985.09,$39985.09,NA,NA,NA,$39985.09,NA,NA,NA,NA,NA,NA,NA,NA,$39985.09,NA,$39985.09,$39985.09,NA,$39985.09,NA,NA,$45982.85,NA,NA,$39985.09,NA,$39985.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$23283.36,$28463.88,NA,$49260.00,NA,NA,NA,$49260.00,NA,$46797.00,$46797.00,$47289.60,NA,NA,$49260.00,$49260.00,NA,NA,NA,$49260.00,NA,NA,NA,NA,NA,NA,NA,NA,$49260.00,NA,$49260.00,$49260.00,NA,$49260.00,NA,NA,$56649.00,NA,NA,$49260.00,NA,$49260.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$23283.36,$28463.88,NA,$49260.00,NA,NA,NA,$49260.00,NA,$46797.00,$46797.00,$47289.60,NA,NA,$49260.00,$49260.00,NA,NA,NA,$49260.00,NA,NA,NA,NA,NA,NA,NA,NA,$49260.00,NA,$49260.00,$49260.00,NA,$49260.00,NA,NA,$56649.00,NA,NA,$49260.00,NA,$49260.00,NA,NA,NA,NA
