Encompass Health Rehabilitation Hospital of Littleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WC ACCESS (AETW) negotiated charge,ANTHEM BC OF CO MEDICARE (BCAM) negotiated charge,ANTHEM BC OF COLORADO (BCAC) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CHOICE CARE NETWORK MCR (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COVENTRY (CHC) negotiated charge,COVENTRY WORK COMP (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WC (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE (PIN) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PRIME HEALTH SERVICES (PRH) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$13768.64,$17593.27,NA,$15298.49,NA,$15298.49,NA,$14533.57,$14533.57,$14686.55,NA,NA,$15298.49,NA,$13768.64,NA,NA,$15298.49,NA,NA,NA,NA,NA,NA,$15298.49,NA,$13768.64,$15298.49,$15298.49,NA,NA,NA,NA,NA,$17593.27,$15298.49,NA,NA,$15298.49,NA,$15298.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$15477.34,$19776.60,NA,$17197.04,NA,$17197.04,NA,$16337.19,$16337.19,$16509.16,NA,NA,$17197.04,NA,$15477.34,NA,NA,$17197.04,NA,NA,NA,NA,NA,NA,$17197.04,NA,$15477.34,$17197.04,$17197.04,NA,NA,NA,NA,NA,$19776.60,$17197.04,NA,NA,$17197.04,NA,$17197.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$23374.37,$29867.25,NA,$25971.52,NA,$25971.52,NA,$24672.95,$24672.95,$24932.66,NA,NA,$25971.52,NA,$23374.37,NA,NA,$25971.52,NA,NA,NA,NA,NA,NA,$25971.52,NA,$23374.37,$25971.52,$25971.52,NA,NA,NA,NA,NA,$29867.25,$25971.52,NA,NA,$25971.52,NA,$25971.52,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$19164.35,$24487.79,NA,$21293.73,NA,$21293.73,NA,$20229.04,$20229.04,$20441.98,NA,NA,$21293.73,NA,$19164.35,NA,NA,$21293.73,NA,NA,NA,NA,NA,NA,$21293.73,NA,$19164.35,$21293.73,$21293.73,NA,NA,NA,NA,NA,$24487.79,$21293.73,NA,NA,$21293.73,NA,$21293.73,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$17298.11,$22103.14,NA,$19220.12,NA,$19220.12,NA,$18259.11,$18259.11,$18451.31,NA,NA,$19220.12,NA,$17298.11,NA,NA,$19220.12,NA,NA,NA,NA,NA,NA,$19220.12,NA,$17298.11,$19220.12,$19220.12,NA,NA,NA,NA,NA,$22103.14,$19220.12,NA,NA,$19220.12,NA,$19220.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$18792.40,$24012.52,NA,$20880.45,NA,$20880.45,NA,$19836.43,$19836.43,$20045.23,NA,NA,$20880.45,NA,$18792.40,NA,NA,$20880.45,NA,NA,NA,NA,NA,NA,$20880.45,NA,$18792.40,$20880.45,$20880.45,NA,NA,NA,NA,NA,$24012.52,$20880.45,NA,NA,$20880.45,NA,$20880.45,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$28381.89,$36265.75,NA,$31535.43,NA,$31535.43,NA,$29958.66,$29958.66,$30274.02,NA,NA,$31535.43,NA,$28381.89,NA,NA,$31535.43,NA,NA,NA,NA,NA,NA,$31535.43,NA,$28381.89,$31535.43,$31535.43,NA,NA,NA,NA,NA,$36265.75,$31535.43,NA,NA,$31535.43,NA,$31535.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$23268.80,$29732.35,NA,$25854.22,NA,$25854.22,NA,$24561.51,$24561.51,$24820.05,NA,NA,$25854.22,NA,$23268.80,NA,NA,$25854.22,NA,NA,NA,NA,NA,NA,$25854.22,NA,$23268.80,$25854.22,$25854.22,NA,NA,NA,NA,NA,$29732.35,$25854.22,NA,NA,$25854.22,NA,$25854.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$21002.99,$26837.15,NA,$23336.65,NA,$23336.65,NA,$22169.82,$22169.82,$22403.19,NA,NA,$23336.65,NA,$21002.99,NA,NA,$23336.65,NA,NA,NA,NA,NA,NA,$23336.65,NA,$21002.99,$23336.65,$23336.65,NA,NA,NA,NA,NA,$26837.15,$23336.65,NA,NA,$23336.65,NA,$23336.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$22073.36,$28204.85,NA,$24525.95,NA,$24525.95,NA,$23299.66,$23299.66,$23544.92,NA,NA,$24525.95,NA,$22073.36,NA,NA,$24525.95,NA,NA,NA,NA,NA,NA,$24525.95,NA,$22073.36,$24525.95,$24525.95,NA,NA,NA,NA,NA,$28204.85,$24525.95,NA,NA,$24525.95,NA,$24525.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$33335.81,$42595.75,NA,$37039.79,NA,$37039.79,NA,$35187.80,$35187.80,$35558.19,NA,NA,$37039.79,NA,$33335.81,NA,NA,$37039.79,NA,NA,NA,NA,NA,NA,$37039.79,NA,$33335.81,$37039.79,$37039.79,NA,NA,NA,NA,NA,$42595.75,$37039.79,NA,NA,$37039.79,NA,$37039.79,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$27331.01,$34922.96,NA,$30367.79,NA,$30367.79,NA,$28849.40,$28849.40,$29153.08,NA,NA,$30367.79,NA,$27331.01,NA,NA,$30367.79,NA,NA,NA,NA,NA,NA,$30367.79,NA,$27331.01,$30367.79,$30367.79,NA,NA,NA,NA,NA,$34922.96,$30367.79,NA,NA,$30367.79,NA,$30367.79,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$24668.89,$31521.36,NA,$27409.87,NA,$27409.87,NA,$26039.38,$26039.38,$26313.48,NA,NA,$27409.87,NA,$24668.89,NA,NA,$27409.87,NA,NA,NA,NA,NA,NA,$27409.87,NA,$24668.89,$27409.87,$27409.87,NA,NA,NA,NA,NA,$31521.36,$27409.87,NA,NA,$27409.87,NA,$27409.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$15043.67,$19222.47,NA,$16715.19,NA,$16715.19,NA,$15879.43,$15879.43,$16046.58,NA,NA,$16715.19,NA,$15043.67,NA,NA,$16715.19,NA,NA,NA,NA,NA,NA,$16715.19,NA,$15043.67,$16715.19,$16715.19,NA,NA,NA,NA,NA,$19222.47,$16715.19,NA,NA,$16715.19,NA,$16715.19,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$20960.76,$26783.19,NA,$23289.73,NA,$23289.73,NA,$22125.24,$22125.24,$22358.14,NA,NA,$23289.73,NA,$20960.76,NA,NA,$23289.73,NA,NA,NA,NA,NA,NA,$23289.73,NA,$20960.76,$23289.73,$23289.73,NA,NA,NA,NA,NA,$26783.19,$23289.73,NA,NA,$23289.73,NA,$23289.73,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$16786.47,$21449.38,NA,$18651.64,NA,$18651.64,NA,$17719.05,$17719.05,$17905.57,NA,NA,$18651.64,NA,$16786.47,NA,NA,$18651.64,NA,NA,NA,NA,NA,NA,$18651.64,NA,$16786.47,$18651.64,$18651.64,NA,NA,NA,NA,NA,$21449.38,$18651.64,NA,NA,$18651.64,NA,$18651.64,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$15681.99,$20038.10,NA,$17424.44,NA,$17424.44,NA,$16553.21,$16553.21,$16727.46,NA,NA,$17424.44,NA,$15681.99,NA,NA,$17424.44,NA,NA,NA,NA,NA,NA,$17424.44,NA,$15681.99,$17424.44,$17424.44,NA,NA,NA,NA,NA,$20038.10,$17424.44,NA,NA,$17424.44,NA,$17424.44,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$18550.39,$23703.28,NA,$20611.55,NA,$20611.55,NA,$19580.97,$19580.97,$19787.09,NA,NA,$20611.55,NA,$18550.39,NA,NA,$20611.55,NA,NA,NA,NA,NA,NA,$20611.55,NA,$18550.39,$20611.55,$20611.55,NA,NA,NA,NA,NA,$23703.28,$20611.55,NA,NA,$20611.55,NA,$20611.55,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$25846.46,$33026.03,NA,$28718.29,NA,$28718.29,NA,$27282.37,$27282.37,$27569.56,NA,NA,$28718.29,NA,$25846.46,NA,NA,$28718.29,NA,NA,NA,NA,NA,NA,$28718.29,NA,$25846.46,$28718.29,$28718.29,NA,NA,NA,NA,NA,$33026.03,$28718.29,NA,NA,$28718.29,NA,$28718.29,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$20699.26,$26449.05,NA,$22999.17,NA,$22999.17,NA,$21849.21,$21849.21,$22079.21,NA,NA,$22999.17,NA,$20699.26,NA,NA,$22999.17,NA,NA,NA,NA,NA,NA,$22999.17,NA,$20699.26,$22999.17,$22999.17,NA,NA,NA,NA,NA,$26449.05,$22999.17,NA,NA,$22999.17,NA,$22999.17,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$19338.15,$24709.85,NA,$21486.83,NA,$21486.83,NA,$20412.49,$20412.49,$20627.36,NA,NA,$21486.83,NA,$19338.15,NA,NA,$21486.83,NA,NA,NA,NA,NA,NA,$21486.83,NA,$19338.15,$21486.83,$21486.83,NA,NA,NA,NA,NA,$24709.85,$21486.83,NA,NA,$21486.83,NA,$21486.83,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$21538.99,$27522.04,NA,$23932.21,NA,$23932.21,NA,$22735.60,$22735.60,$22974.92,NA,NA,$23932.21,NA,$21538.99,NA,NA,$23932.21,NA,NA,NA,NA,NA,NA,$23932.21,NA,$21538.99,$23932.21,$23932.21,NA,NA,NA,NA,NA,$27522.04,$23932.21,NA,NA,$23932.21,NA,$23932.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$30009.37,$38345.31,NA,$33343.75,NA,$33343.75,NA,$31676.56,$31676.56,$32010.00,NA,NA,$33343.75,NA,$30009.37,NA,NA,$33343.75,NA,NA,NA,NA,NA,NA,$33343.75,NA,$30009.37,$33343.75,$33343.75,NA,NA,NA,NA,NA,$38345.31,$33343.75,NA,NA,$33343.75,NA,$33343.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$24032.19,$30707.79,NA,$26702.43,NA,$26702.43,NA,$25367.31,$25367.31,$25634.33,NA,NA,$26702.43,NA,$24032.19,NA,NA,$26702.43,NA,NA,NA,NA,NA,NA,$26702.43,NA,$24032.19,$26702.43,$26702.43,NA,NA,NA,NA,NA,$30707.79,$26702.43,NA,NA,$26702.43,NA,$26702.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$22451.81,$28688.42,NA,$24946.45,NA,$24946.45,NA,$23699.13,$23699.13,$23948.59,NA,NA,$24946.45,NA,$22451.81,NA,NA,$24946.45,NA,NA,NA,NA,NA,NA,$24946.45,NA,$22451.81,$24946.45,$24946.45,NA,NA,NA,NA,NA,$28688.42,$24946.45,NA,NA,$24946.45,NA,$24946.45,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$24972.62,$31909.46,NA,$27747.35,NA,$27747.35,NA,$26359.99,$26359.99,$26637.46,NA,NA,$27747.35,NA,$24972.62,NA,NA,$27747.35,NA,NA,NA,NA,NA,NA,$27747.35,NA,$24972.62,$27747.35,$27747.35,NA,NA,NA,NA,NA,$31909.46,$27747.35,NA,NA,$27747.35,NA,$27747.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$34792.75,$44457.40,NA,$38658.61,NA,$38658.61,NA,$36725.68,$36725.68,$37112.26,NA,NA,$38658.61,NA,$34792.75,NA,NA,$38658.61,NA,NA,NA,NA,NA,NA,$38658.61,NA,$34792.75,$38658.61,$38658.61,NA,NA,NA,NA,NA,$44457.40,$38658.61,NA,NA,$38658.61,NA,$38658.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$27862.13,$35601.62,NA,$30957.93,NA,$30957.93,NA,$29410.03,$29410.03,$29719.61,NA,NA,$30957.93,NA,$27862.13,NA,NA,$30957.93,NA,NA,NA,NA,NA,NA,$30957.93,NA,$27862.13,$30957.93,$30957.93,NA,NA,NA,NA,NA,$35601.62,$30957.93,NA,NA,$30957.93,NA,$30957.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$26031.62,$33262.63,NA,$28924.02,NA,$28924.02,NA,$27477.82,$27477.82,$27767.06,NA,NA,$28924.02,NA,$26031.62,NA,NA,$28924.02,NA,NA,NA,NA,NA,NA,$28924.02,NA,$26031.62,$28924.02,$28924.02,NA,NA,NA,NA,NA,$33262.63,$28924.02,NA,NA,$28924.02,NA,$28924.02,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$13039.36,$16661.41,NA,$14488.18,NA,$14488.18,NA,$13763.77,$13763.77,$13908.65,NA,NA,$14488.18,NA,$13039.36,NA,NA,$14488.18,NA,NA,NA,NA,NA,NA,$14488.18,NA,$13039.36,$14488.18,$14488.18,NA,NA,NA,NA,NA,$16661.41,$14488.18,NA,NA,$14488.18,NA,$14488.18,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$16062.06,$20523.75,NA,$17846.74,NA,$17846.74,NA,$16954.40,$16954.40,$17132.87,NA,NA,$17846.74,NA,$16062.06,NA,NA,$17846.74,NA,NA,NA,NA,NA,NA,$17846.74,NA,$16062.06,$17846.74,$17846.74,NA,NA,NA,NA,NA,$20523.75,$17846.74,NA,NA,$17846.74,NA,$17846.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$16062.06,$20523.75,NA,$17846.74,NA,$17846.74,NA,$16954.40,$16954.40,$17132.87,NA,NA,$17846.74,NA,$16062.06,NA,NA,$17846.74,NA,NA,NA,NA,NA,NA,$17846.74,NA,$16062.06,$17846.74,$17846.74,NA,NA,NA,NA,NA,$20523.75,$17846.74,NA,NA,$17846.74,NA,$17846.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$14486.56,$18510.60,NA,$16096.17,NA,$16096.17,NA,$15291.36,$15291.36,$15452.33,NA,NA,$16096.17,NA,$14486.56,NA,NA,$16096.17,NA,NA,NA,NA,NA,NA,$16096.17,NA,$14486.56,$16096.17,$16096.17,NA,NA,NA,NA,NA,$18510.60,$16096.17,NA,NA,$16096.17,NA,$16096.17,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$14605.12,$18662.10,NA,$16227.92,NA,$16227.92,NA,$15416.52,$15416.52,$15578.80,NA,NA,$16227.92,NA,$14605.12,NA,NA,$16227.92,NA,NA,NA,NA,NA,NA,$16227.92,NA,$14605.12,$16227.92,$16227.92,NA,NA,NA,NA,NA,$18662.10,$16227.92,NA,NA,$16227.92,NA,$16227.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$17993.28,$22991.41,NA,$19992.53,NA,$19992.53,NA,$18992.91,$18992.91,$19192.83,NA,NA,$19992.53,NA,$17993.28,NA,NA,$19992.53,NA,NA,NA,NA,NA,NA,$19992.53,NA,$17993.28,$19992.53,$19992.53,NA,NA,NA,NA,NA,$22991.41,$19992.53,NA,NA,$19992.53,NA,$19992.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$17993.28,$22991.41,NA,$19992.53,NA,$19992.53,NA,$18992.91,$18992.91,$19192.83,NA,NA,$19992.53,NA,$17993.28,NA,NA,$19992.53,NA,NA,NA,NA,NA,NA,$19992.53,NA,$17993.28,$19992.53,$19992.53,NA,NA,NA,NA,NA,$22991.41,$19992.53,NA,NA,$19992.53,NA,$19992.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$16227.74,$20735.44,NA,$18030.82,NA,$18030.82,NA,$17129.28,$17129.28,$17309.58,NA,NA,$18030.82,NA,$16227.74,NA,NA,$18030.82,NA,NA,NA,NA,NA,NA,$18030.82,NA,$16227.74,$18030.82,$18030.82,NA,NA,NA,NA,NA,$20735.44,$18030.82,NA,NA,$18030.82,NA,$18030.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$17848.72,$22806.70,NA,$19831.91,NA,$19831.91,NA,$18840.32,$18840.32,$19038.64,NA,NA,$19831.91,NA,$17848.72,NA,NA,$19831.91,NA,NA,NA,NA,NA,NA,$19831.91,NA,$17848.72,$19831.91,$19831.91,NA,NA,NA,NA,NA,$22806.70,$19831.91,NA,NA,$19831.91,NA,$19831.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$21988.90,$28096.93,NA,$24432.11,NA,$24432.11,NA,$23210.50,$23210.50,$23454.83,NA,NA,$24432.11,NA,$21988.90,NA,NA,$24432.11,NA,NA,NA,NA,NA,NA,$24432.11,NA,$21988.90,$24432.11,$24432.11,NA,NA,NA,NA,NA,$28096.93,$24432.11,NA,NA,$24432.11,NA,$24432.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$21988.90,$28096.93,NA,$24432.11,NA,$24432.11,NA,$23210.50,$23210.50,$23454.83,NA,NA,$24432.11,NA,$21988.90,NA,NA,$24432.11,NA,NA,NA,NA,NA,NA,$24432.11,NA,$21988.90,$24432.11,$24432.11,NA,NA,NA,NA,NA,$28096.93,$24432.11,NA,NA,$24432.11,NA,$24432.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$19830.29,$25338.70,NA,$22033.66,NA,$22033.66,NA,$20931.97,$20931.97,$21152.31,NA,NA,$22033.66,NA,$19830.29,NA,NA,$22033.66,NA,NA,NA,NA,NA,NA,$22033.66,NA,$19830.29,$22033.66,$22033.66,NA,NA,NA,NA,NA,$25338.70,$22033.66,NA,NA,$22033.66,NA,$22033.66,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$22679.20,$28978.98,NA,$25199.11,NA,$25199.11,NA,$23939.15,$23939.15,$24191.15,NA,NA,$25199.11,NA,$22679.20,NA,NA,$25199.11,NA,NA,NA,NA,NA,NA,$25199.11,NA,$22679.20,$25199.11,$25199.11,NA,NA,NA,NA,NA,$28978.98,$25199.11,NA,NA,$25199.11,NA,$25199.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$27938.47,$35699.16,NA,$31042.75,NA,$31042.75,NA,$29490.61,$29490.61,$29801.04,NA,NA,$31042.75,NA,$27938.47,NA,NA,$31042.75,NA,NA,NA,NA,NA,NA,$31042.75,NA,$27938.47,$31042.75,$31042.75,NA,NA,NA,NA,NA,$35699.16,$31042.75,NA,NA,$31042.75,NA,$31042.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$27938.47,$35699.16,NA,$31042.75,NA,$31042.75,NA,$29490.61,$29490.61,$29801.04,NA,NA,$31042.75,NA,$27938.47,NA,NA,$31042.75,NA,NA,NA,NA,NA,NA,$31042.75,NA,$27938.47,$31042.75,$31042.75,NA,NA,NA,NA,NA,$35699.16,$31042.75,NA,NA,$31042.75,NA,$31042.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$25196.76,$32195.86,NA,$27996.40,NA,$27996.40,NA,$26596.58,$26596.58,$26876.55,NA,NA,$27996.40,NA,$25196.76,NA,NA,$27996.40,NA,NA,NA,NA,NA,NA,$27996.40,NA,$25196.76,$27996.40,$27996.40,NA,NA,NA,NA,NA,$32195.86,$27996.40,NA,NA,$27996.40,NA,$27996.40,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$14670.09,$18745.12,NA,$16300.10,NA,$16300.10,NA,$15485.10,$15485.10,$15648.10,NA,NA,$16300.10,NA,$14670.09,NA,NA,$16300.10,NA,NA,NA,NA,NA,NA,$16300.10,NA,$14670.09,$16300.10,$16300.10,NA,NA,NA,NA,NA,$18745.12,$16300.10,NA,NA,$16300.10,NA,$16300.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$22593.11,$28868.98,NA,$25103.46,NA,$25103.46,NA,$23848.29,$23848.29,$24099.32,NA,NA,$25103.46,NA,$22593.11,NA,NA,$25103.46,NA,NA,NA,NA,NA,NA,$25103.46,NA,$22593.11,$25103.46,$25103.46,NA,NA,NA,NA,NA,$28868.98,$25103.46,NA,NA,$25103.46,NA,$25103.46,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$17723.66,$22646.89,NA,$19692.95,NA,$19692.95,NA,$18708.30,$18708.30,$18905.23,NA,NA,$19692.95,NA,$17723.66,NA,NA,$19692.95,NA,NA,NA,NA,NA,NA,$19692.95,NA,$17723.66,$19692.95,$19692.95,NA,NA,NA,NA,NA,$22646.89,$19692.95,NA,NA,$19692.95,NA,$19692.95,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$16110.79,$20586.01,NA,$17900.88,NA,$17900.88,NA,$17005.83,$17005.83,$17184.84,NA,NA,$17900.88,NA,$16110.79,NA,NA,$17900.88,NA,NA,NA,NA,NA,NA,$17900.88,NA,$16110.79,$17900.88,$17900.88,NA,NA,NA,NA,NA,$20586.01,$17900.88,NA,NA,$17900.88,NA,$17900.88,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$17916.94,$22893.87,NA,$19907.71,NA,$19907.71,NA,$18912.33,$18912.33,$19111.40,NA,NA,$19907.71,NA,$17916.94,NA,NA,$19907.71,NA,NA,NA,NA,NA,NA,$19907.71,NA,$17916.94,$19907.71,$19907.71,NA,NA,NA,NA,NA,$22893.87,$19907.71,NA,NA,$19907.71,NA,$19907.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$27592.51,$35257.10,NA,$30658.35,NA,$30658.35,NA,$29125.43,$29125.43,$29432.01,NA,NA,$30658.35,NA,$27592.51,NA,NA,$30658.35,NA,NA,NA,NA,NA,NA,$30658.35,NA,$27592.51,$30658.35,$30658.35,NA,NA,NA,NA,NA,$35257.10,$30658.35,NA,NA,$30658.35,NA,$30658.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$21647.81,$27661.09,NA,$24053.12,NA,$24053.12,NA,$22850.47,$22850.47,$23091.00,NA,NA,$24053.12,NA,$21647.81,NA,NA,$24053.12,NA,NA,NA,NA,NA,NA,$24053.12,NA,$21647.81,$24053.12,$24053.12,NA,NA,NA,NA,NA,$27661.09,$24053.12,NA,NA,$24053.12,NA,$24053.12,NA,NA
