Encompass Health Rehabilitation Hospital of Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,CARE PLUS HEALTH PLAN (CPH) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY (TRICARE) (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIME HEALTH SERVICES WC (PRMW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$23773.87,$28778.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25025.13,NA,NA,NA,$25025.13,NA,NA,NA,NA,$25025.13,NA,$25025.13,NA,NA,NA,$28778.90,$25025.13,NA,$25025.13,NA,$23773.87,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$21611.51,$26161.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22748.96,NA,NA,NA,$22748.96,NA,NA,NA,NA,$22748.96,NA,$22748.96,NA,NA,NA,$26161.31,$22748.96,NA,$22748.96,NA,$21611.51,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$21768.01,$26350.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22913.70,NA,NA,NA,$22913.70,NA,NA,NA,NA,$22913.70,NA,$22913.70,NA,NA,NA,$26350.75,$22913.70,NA,$22913.70,NA,$21768.01,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$33524.78,$40582.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35289.25,NA,NA,NA,$35289.25,NA,NA,NA,NA,$35289.25,NA,$35289.25,NA,NA,NA,$40582.63,$35289.25,NA,$35289.25,NA,$33524.78,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$26300.38,$31837.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27684.61,NA,NA,NA,$27684.61,NA,NA,NA,NA,$27684.61,NA,$27684.61,NA,NA,NA,$31837.30,$27684.61,NA,$27684.61,NA,$26300.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$23907.79,$28941.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25166.10,NA,NA,NA,$25166.10,NA,NA,NA,NA,$25166.10,NA,$25166.10,NA,NA,NA,$28941.01,$25166.10,NA,$25166.10,NA,$23907.79,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$23885.22,$28913.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25142.34,NA,NA,NA,$25142.34,NA,NA,NA,NA,$25142.34,NA,$25142.34,NA,NA,NA,$28913.69,$25142.34,NA,$25142.34,NA,$23885.22,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$36787.13,$44531.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38723.29,NA,NA,NA,$38723.29,NA,NA,NA,NA,$38723.29,NA,$38723.29,NA,NA,NA,$44531.78,$38723.29,NA,$38723.29,NA,$36787.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$28859.99,$34935.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30378.94,NA,NA,NA,$30378.94,NA,NA,NA,NA,$30378.94,NA,$30378.94,NA,NA,NA,$34935.78,$30378.94,NA,$30378.94,NA,$28859.99,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$26234.17,$31757.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27614.92,NA,NA,NA,$27614.92,NA,NA,NA,NA,$27614.92,NA,$27614.92,NA,NA,NA,$31757.15,$27614.92,NA,$27614.92,NA,$26234.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$12309.02,$14900.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12956.87,NA,NA,NA,$12956.87,NA,NA,NA,NA,$12956.87,NA,$12956.87,NA,NA,NA,$14900.40,$12956.87,NA,$12956.87,NA,$12309.02,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$18630.56,$22552.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19611.12,NA,NA,NA,$19611.12,NA,NA,NA,NA,$19611.12,NA,$19611.12,NA,NA,NA,$22552.79,$19611.12,NA,$19611.12,NA,$18630.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$14778.35,$17889.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15556.16,NA,NA,NA,$15556.16,NA,NA,NA,NA,$15556.16,NA,$15556.16,NA,NA,NA,$17889.58,$15556.16,NA,$15556.16,NA,$14778.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$13272.08,$16066.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13970.61,NA,NA,NA,$13970.61,NA,NA,NA,NA,$13970.61,NA,$13970.61,NA,NA,NA,$16066.20,$13970.61,NA,$13970.61,NA,$13272.08,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$15676.70,$18977.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16501.79,NA,NA,NA,$16501.79,NA,NA,NA,NA,$16501.79,NA,$16501.79,NA,NA,NA,$18977.06,$16501.79,NA,$16501.79,NA,$15676.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$23725.72,$28720.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24974.44,NA,NA,NA,$24974.44,NA,NA,NA,NA,$24974.44,NA,$24974.44,NA,NA,NA,$28720.61,$24974.44,NA,$24974.44,NA,$23725.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$18818.66,$22780.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19809.12,NA,NA,NA,$19809.12,NA,NA,NA,NA,$19809.12,NA,$19809.12,NA,NA,NA,$22780.48,$19809.12,NA,$19809.12,NA,$18818.66,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$16901.58,$20459.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17791.14,NA,NA,NA,$17791.14,NA,NA,NA,NA,$17791.14,NA,$17791.14,NA,NA,NA,$20459.81,$17791.14,NA,$17791.14,NA,$16901.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$19233.98,$23283.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20246.29,NA,NA,NA,$20246.29,NA,NA,NA,NA,$20246.29,NA,$20246.29,NA,NA,NA,$23283.24,$20246.29,NA,$20246.29,NA,$19233.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$29109.79,$35238.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30641.88,NA,NA,NA,$30641.88,NA,NA,NA,NA,$30641.88,NA,$30641.88,NA,NA,NA,$35238.16,$30641.88,NA,$30641.88,NA,$29109.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$23089.20,$27950.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24304.42,NA,NA,NA,$24304.42,NA,NA,NA,NA,$24304.42,NA,$24304.42,NA,NA,NA,$27950.08,$24304.42,NA,$24304.42,NA,$23089.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$20737.24,$25102.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21828.68,NA,NA,NA,$21828.68,NA,NA,NA,NA,$21828.68,NA,$21828.68,NA,NA,NA,$25102.98,$21828.68,NA,$21828.68,NA,$20737.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$22055.42,$26698.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23216.23,NA,NA,NA,$23216.23,NA,NA,NA,NA,$23216.23,NA,$23216.23,NA,NA,NA,$26698.67,$23216.23,NA,$23216.23,NA,$22055.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$33380.33,$40407.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35137.18,NA,NA,NA,$35137.18,NA,NA,NA,NA,$35137.18,NA,$35137.18,NA,NA,NA,$40407.76,$35137.18,NA,$35137.18,NA,$33380.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$26477.94,$32052.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27871.52,NA,NA,NA,$27871.52,NA,NA,NA,NA,$27871.52,NA,$27871.52,NA,NA,NA,$32052.25,$27871.52,NA,$27871.52,NA,$26477.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$23779.89,$28786.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25031.46,NA,NA,NA,$25031.46,NA,NA,NA,NA,$25031.46,NA,$25031.46,NA,NA,NA,$28786.18,$25031.46,NA,$25031.46,NA,$23779.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$26334.99,$31879.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27721.04,NA,NA,NA,$27721.04,NA,NA,NA,NA,$27721.04,NA,$27721.04,NA,NA,NA,$31879.20,$27721.04,NA,$27721.04,NA,$26334.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$39856.86,$48247.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41954.59,NA,NA,NA,$41954.59,NA,NA,NA,NA,$41954.59,NA,$41954.59,NA,NA,NA,$48247.77,$41954.59,NA,$41954.59,NA,$39856.86,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$31615.23,$38271.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33279.19,NA,NA,NA,$33279.19,NA,NA,NA,NA,$33279.19,NA,$33279.19,NA,NA,NA,$38271.07,$33279.19,NA,$33279.19,NA,$31615.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$28393.52,$34371.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29887.91,NA,NA,NA,$29887.91,NA,NA,NA,NA,$29887.91,NA,$29887.91,NA,NA,NA,$34371.10,$29887.91,NA,$29887.91,NA,$28393.52,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$33922.04,$41063.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35707.41,NA,NA,NA,$35707.41,NA,NA,NA,NA,$35707.41,NA,$35707.41,NA,NA,NA,$41063.53,$35707.41,NA,$35707.41,NA,$33922.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$51341.27,$62149.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54043.44,NA,NA,NA,$54043.44,NA,NA,NA,NA,$54043.44,NA,$54043.44,NA,NA,NA,$62149.95,$54043.44,NA,$54043.44,NA,$51341.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$40723.61,$49297.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42866.95,NA,NA,NA,$42866.95,NA,NA,NA,NA,$42866.95,NA,$42866.95,NA,NA,NA,$49297.00,$42866.95,NA,$42866.95,NA,$40723.61,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$36573.45,$44273.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38498.37,NA,NA,NA,$38498.37,NA,NA,NA,NA,$38498.37,NA,$38498.37,NA,NA,NA,$44273.12,$38498.37,NA,$38498.37,NA,$36573.45,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$13148.69,$15916.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13840.72,NA,NA,NA,$13840.72,NA,NA,NA,NA,$13840.72,NA,$13840.72,NA,NA,NA,$15916.83,$13840.72,NA,$13840.72,NA,$13148.69,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$18103.89,$21915.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19056.73,NA,NA,NA,$19056.73,NA,NA,NA,NA,$19056.73,NA,$19056.73,NA,NA,NA,$21915.24,$19056.73,NA,$19056.73,NA,$18103.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$14078.63,$17042.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14819.61,NA,NA,NA,$14819.61,NA,NA,NA,NA,$14819.61,NA,$14819.61,NA,NA,NA,$17042.56,$14819.61,NA,$14819.61,NA,$14078.63,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$13883.01,$16805.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14613.70,NA,NA,NA,$14613.70,NA,NA,NA,NA,$14613.70,NA,$14613.70,NA,NA,NA,$16805.75,$14613.70,NA,$14613.70,NA,$13883.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$17804.45,$21552.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18741.52,NA,NA,NA,$18741.52,NA,NA,NA,NA,$18741.52,NA,$18741.52,NA,NA,NA,$21552.75,$18741.52,NA,$18741.52,NA,$17804.45,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$24515.72,$29676.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25806.02,NA,NA,NA,$25806.02,NA,NA,NA,NA,$25806.02,NA,$25806.02,NA,NA,NA,$29676.93,$25806.02,NA,$25806.02,NA,$24515.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$19065.44,$23079.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20068.89,NA,NA,NA,$20068.89,NA,NA,NA,NA,$20068.89,NA,$20068.89,NA,NA,NA,$23079.22,$20068.89,NA,$20068.89,NA,$19065.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$18799.10,$22756.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19788.52,NA,NA,NA,$19788.52,NA,NA,NA,NA,$19788.52,NA,$19788.52,NA,NA,NA,$22756.80,$19788.52,NA,$19788.52,NA,$18799.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$28346.87,$34314.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29838.81,NA,NA,NA,$29838.81,NA,NA,NA,NA,$29838.81,NA,$29838.81,NA,NA,NA,$34314.63,$29838.81,NA,$29838.81,NA,$28346.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$39032.24,$47249.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41086.57,NA,NA,NA,$41086.57,NA,NA,NA,NA,$41086.57,NA,$41086.57,NA,NA,NA,$47249.56,$41086.57,NA,$41086.57,NA,$39032.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$30354.23,$36744.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31951.82,NA,NA,NA,$31951.82,NA,NA,NA,NA,$31951.82,NA,$31951.82,NA,NA,NA,$36744.60,$31951.82,NA,$31951.82,NA,$30354.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$29929.89,$36230.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31505.14,NA,NA,NA,$31505.14,NA,NA,NA,NA,$31505.14,NA,$31505.14,NA,NA,NA,$36230.91,$31505.14,NA,$31505.14,NA,$29929.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$41734.81,$50521.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43931.38,NA,NA,NA,$43931.38,NA,NA,NA,NA,$43931.38,NA,$43931.38,NA,NA,NA,$50521.09,$43931.38,NA,$43931.38,NA,$41734.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$57465.68,$69563.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60490.19,NA,NA,NA,$60490.19,NA,NA,NA,NA,$60490.19,NA,$60490.19,NA,NA,NA,$69563.72,$60490.19,NA,$60490.19,NA,$57465.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$44690.18,$54098.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47042.30,NA,NA,NA,$47042.30,NA,NA,NA,NA,$47042.30,NA,$47042.30,NA,NA,NA,$54098.64,$47042.30,NA,$47042.30,NA,$44690.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$44065.70,$53342.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46384.95,NA,NA,NA,$46384.95,NA,NA,NA,NA,$46384.95,NA,$46384.95,NA,NA,NA,$53342.69,$46384.95,NA,$46384.95,NA,$44065.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$12462.51,$15086.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13118.43,NA,NA,NA,$13118.43,NA,NA,NA,NA,$13118.43,NA,$13118.43,NA,NA,NA,$15086.20,$13118.43,NA,$13118.43,NA,$12462.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$18234.81,$22073.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19194.54,NA,NA,NA,$19194.54,NA,NA,NA,NA,$19194.54,NA,$19194.54,NA,NA,NA,$22073.72,$19194.54,NA,$19194.54,NA,$18234.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$14796.41,$17911.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15575.17,NA,NA,NA,$15575.17,NA,NA,NA,NA,$15575.17,NA,$15575.17,NA,NA,NA,$17911.44,$15575.17,NA,$15575.17,NA,$14796.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$13550.46,$16403.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14263.64,NA,NA,NA,$14263.64,NA,NA,NA,NA,$14263.64,NA,$14263.64,NA,NA,NA,$16403.19,$14263.64,NA,$14263.64,NA,$13550.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$15321.57,$18547.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16127.97,NA,NA,NA,$16127.97,NA,NA,NA,NA,$16127.97,NA,$16127.97,NA,NA,NA,$18547.17,$16127.97,NA,$16127.97,NA,$15321.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$22419.58,$27139.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23599.55,NA,NA,NA,$23599.55,NA,NA,NA,NA,$23599.55,NA,$23599.55,NA,NA,NA,$27139.49,$23599.55,NA,$23599.55,NA,$22419.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$18192.68,$22022.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19150.19,NA,NA,NA,$19150.19,NA,NA,NA,NA,$19150.19,NA,$19150.19,NA,NA,NA,$22022.71,$19150.19,NA,$19150.19,NA,$18192.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$16660.82,$20168.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17537.70,NA,NA,NA,$17537.70,NA,NA,NA,NA,$17537.70,NA,$17537.70,NA,NA,NA,$20168.36,$17537.70,NA,$17537.70,NA,$16660.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$18135.49,$21953.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19089.99,NA,NA,NA,$19089.99,NA,NA,NA,NA,$19089.99,NA,$19089.99,NA,NA,NA,$21953.49,$19089.99,NA,$19089.99,NA,$18135.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$26535.12,$32121.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27931.71,NA,NA,NA,$27931.71,NA,NA,NA,NA,$27931.71,NA,$27931.71,NA,NA,NA,$32121.47,$27931.71,NA,$27931.71,NA,$26535.12,NA,NA,NA
