Encompass Health Rehabilitation Hospital of New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,AMERICAS CHOICE PROV NET (ACPN) negotiated charge,BCBS OF MA (BCMA) negotiated charge,BCBS OF MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MA MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTH PLAN DUAL (BMCB) negotiated charge,BMC HEALTH PLAN MEDICAID (BMCD) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH ALLIANCE DUA (COM) negotiated charge,COMMONWEALTH CARE MEDICAR (COCM) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FALLON (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON MEDICARE (FALM) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,GMMI INC (GMI) negotiated charge,HARVARD PILGRIM (HPH) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM MEDICARE (HPIM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK HEALTH COM CARES (NTHD) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,NETWORK HEALTH MEDICAID (NTH) negotiated charge,NETWORK HEATLH DUAL ELIG (NTHB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,SENIOR WHOLE HEALTH MCR (WHSM) negotiated charge,TUFTS (TFT) negotiated charge,TUFTS MEDICARE (TFTS) negotiated charge,UNICARE (UNC) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED HEALTHCARE VA CCN (UHV) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$16103.23,$20576.34,NA,$17892.47,NA,NA,NA,NA,NA,NA,NA,NA,$17892.47,NA,NA,NA,$17892.47,NA,$16103.23,$16103.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17892.47,$17892.47,NA,NA,NA,NA,$17892.47,NA,$20576.34,$17892.47,$17892.47,NA,NA,NA,NA,$16103.23,$17892.47,$17892.47,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$15286.91,$19533.27,NA,$16985.46,NA,NA,NA,NA,NA,NA,NA,NA,$16985.46,NA,NA,NA,$16985.46,NA,$15286.91,$15286.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16985.46,$16985.46,NA,NA,NA,NA,$16985.46,NA,$19533.27,$16985.46,$16985.46,NA,NA,NA,NA,$15286.91,$16985.46,$16985.46,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$18569.47,$23727.66,NA,$20632.75,NA,NA,NA,NA,NA,NA,NA,NA,$20632.75,NA,NA,NA,$20632.75,NA,$18569.47,$18569.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20632.75,$20632.75,NA,NA,NA,NA,$20632.75,NA,$23727.66,$20632.75,$20632.75,NA,NA,NA,NA,$18569.47,$20632.75,$20632.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$26684.21,$34096.49,NA,$29649.12,NA,NA,NA,NA,NA,NA,NA,NA,$29649.12,NA,NA,NA,$29649.12,NA,$26684.21,$26684.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29649.12,$29649.12,NA,NA,NA,NA,$29649.12,NA,$34096.49,$29649.12,$29649.12,NA,NA,NA,NA,$26684.21,$29649.12,$29649.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$22033.63,$28154.08,NA,$24481.81,NA,NA,NA,NA,NA,NA,NA,NA,$24481.81,NA,NA,NA,$24481.81,NA,$22033.63,$22033.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24481.81,$24481.81,NA,NA,NA,NA,$24481.81,NA,$28154.08,$24481.81,$24481.81,NA,NA,NA,NA,$22033.63,$24481.81,$24481.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$20916.38,$26726.49,NA,$23240.42,NA,NA,NA,NA,NA,NA,NA,NA,$23240.42,NA,NA,NA,$23240.42,NA,$20916.38,$20916.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23240.42,$23240.42,NA,NA,NA,NA,$23240.42,NA,$26726.49,$23240.42,$23240.42,NA,NA,NA,NA,$20916.38,$23240.42,$23240.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$21405.82,$27351.89,NA,$23784.25,NA,NA,NA,NA,NA,NA,NA,NA,$23784.25,NA,NA,NA,$23784.25,NA,$21405.82,$21405.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23784.25,$23784.25,NA,NA,NA,NA,$23784.25,NA,$27351.89,$23784.25,$23784.25,NA,NA,NA,NA,$21405.82,$23784.25,$23784.25,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$30760.60,$39305.22,NA,$34178.45,NA,NA,NA,NA,NA,NA,NA,NA,$34178.45,NA,NA,NA,$34178.45,NA,$30760.60,$30760.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34178.45,$34178.45,NA,NA,NA,NA,$34178.45,NA,$39305.22,$34178.45,$34178.45,NA,NA,NA,NA,$30760.60,$34178.45,$34178.45,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$25399.20,$32454.54,NA,$28221.34,NA,NA,NA,NA,NA,NA,NA,NA,$28221.34,NA,NA,NA,$28221.34,NA,$25399.20,$25399.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28221.34,$28221.34,NA,NA,NA,NA,$28221.34,NA,$32454.54,$28221.34,$28221.34,NA,NA,NA,NA,$25399.20,$28221.34,$28221.34,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$24110.74,$30808.17,NA,$26789.71,NA,NA,NA,NA,NA,NA,NA,NA,$26789.71,NA,NA,NA,$26789.71,NA,$24110.74,$24110.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26789.71,$26789.71,NA,NA,NA,NA,$26789.71,NA,$30808.17,$26789.71,$26789.71,NA,NA,NA,NA,$24110.74,$26789.71,$26789.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$24812.91,$31705.38,NA,$27569.90,NA,NA,NA,NA,NA,NA,NA,NA,$27569.90,NA,NA,NA,$27569.90,NA,$24812.91,$24812.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27569.90,$27569.90,NA,NA,NA,NA,$27569.90,NA,$31705.38,$27569.90,$27569.90,NA,NA,NA,NA,$24812.91,$27569.90,$27569.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$35656.77,$45561.43,NA,$39618.64,NA,NA,NA,NA,NA,NA,NA,NA,$39618.64,NA,NA,NA,$39618.64,NA,$35656.77,$35656.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39618.64,$39618.64,NA,NA,NA,NA,$39618.64,NA,$45561.43,$39618.64,$39618.64,NA,NA,NA,NA,$35656.77,$39618.64,$39618.64,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$29442.74,$37621.28,NA,$32714.15,NA,NA,NA,NA,NA,NA,NA,NA,$32714.15,NA,NA,NA,$32714.15,NA,$29442.74,$29442.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32714.15,$32714.15,NA,NA,NA,NA,$32714.15,NA,$37621.28,$32714.15,$32714.15,NA,NA,NA,NA,$29442.74,$32714.15,$32714.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$27950.19,$35714.13,NA,$31055.77,NA,NA,NA,NA,NA,NA,NA,NA,$31055.77,NA,NA,NA,$31055.77,NA,$27950.19,$27950.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31055.77,$31055.77,NA,NA,NA,NA,$31055.77,NA,$35714.13,$31055.77,$31055.77,NA,NA,NA,NA,$27950.19,$31055.77,$31055.77,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$25124.22,$32103.16,NA,$27915.80,NA,NA,NA,NA,NA,NA,NA,NA,$27915.80,NA,NA,NA,$27915.80,NA,$25124.22,$25124.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27915.80,$27915.80,NA,NA,NA,NA,$27915.80,NA,$32103.16,$27915.80,$27915.80,NA,NA,NA,NA,$25124.22,$27915.80,$27915.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$36104.71,$46133.80,NA,$40116.34,NA,NA,NA,NA,NA,NA,NA,NA,$40116.34,NA,NA,NA,$40116.34,NA,$36104.71,$36104.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40116.34,$40116.34,NA,NA,NA,NA,$40116.34,NA,$46133.80,$40116.34,$40116.34,NA,NA,NA,NA,$36104.71,$40116.34,$40116.34,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$29811.12,$38091.98,NA,$33123.46,NA,NA,NA,NA,NA,NA,NA,NA,$33123.46,NA,NA,NA,$33123.46,NA,$29811.12,$29811.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33123.46,$33123.46,NA,NA,NA,NA,$33123.46,NA,$38091.98,$33123.46,$33123.46,NA,NA,NA,NA,$29811.12,$33123.46,$33123.46,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$28299.55,$36160.53,NA,$31443.94,NA,NA,NA,NA,NA,NA,NA,NA,$31443.94,NA,NA,NA,$31443.94,NA,$28299.55,$28299.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31443.94,$31443.94,NA,NA,NA,NA,$31443.94,NA,$36160.53,$31443.94,$31443.94,NA,NA,NA,NA,$28299.55,$31443.94,$31443.94,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$13118.14,$16762.06,NA,$14575.71,NA,NA,NA,NA,NA,NA,NA,NA,$14575.71,NA,NA,NA,$14575.71,NA,$13118.14,$13118.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14575.71,$14575.71,NA,NA,NA,NA,$14575.71,NA,$16762.06,$14575.71,$14575.71,NA,NA,NA,NA,$13118.14,$14575.71,$14575.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$19812.97,$25316.57,NA,$22014.41,NA,NA,NA,NA,NA,NA,NA,NA,$22014.41,NA,NA,NA,$22014.41,NA,$19812.97,$19812.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22014.41,$22014.41,NA,NA,NA,NA,$22014.41,NA,$25316.57,$22014.41,$22014.41,NA,NA,NA,NA,$19812.97,$22014.41,$22014.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$16243.31,$20755.35,NA,$18048.13,NA,NA,NA,NA,NA,NA,NA,NA,$18048.13,NA,NA,NA,$18048.13,NA,$16243.31,$16243.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18048.13,$18048.13,NA,NA,NA,NA,$18048.13,NA,$20755.35,$18048.13,$18048.13,NA,NA,NA,NA,$16243.31,$18048.13,$18048.13,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$14660.84,$18733.29,NA,$16289.82,NA,NA,NA,NA,NA,NA,NA,NA,$16289.82,NA,NA,NA,$16289.82,NA,$14660.84,$14660.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16289.82,$16289.82,NA,NA,NA,NA,$16289.82,NA,$18733.29,$16289.82,$16289.82,NA,NA,NA,NA,$14660.84,$16289.82,$16289.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$16480.25,$21058.10,NA,$18311.39,NA,NA,NA,NA,NA,NA,NA,NA,$18311.39,NA,NA,NA,$18311.39,NA,$16480.25,$16480.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18311.39,$18311.39,NA,NA,NA,NA,$18311.39,NA,$21058.10,$18311.39,$18311.39,NA,NA,NA,NA,$16480.25,$18311.39,$18311.39,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$24889.01,$31802.62,NA,$27654.45,NA,NA,NA,NA,NA,NA,NA,NA,$27654.45,NA,NA,NA,$27654.45,NA,$24889.01,$24889.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27654.45,$27654.45,NA,NA,NA,NA,$27654.45,NA,$31802.62,$27654.45,$27654.45,NA,NA,NA,NA,$24889.01,$27654.45,$27654.45,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$20406.18,$26074.57,NA,$22673.54,NA,NA,NA,NA,NA,NA,NA,NA,$22673.54,NA,NA,NA,$22673.54,NA,$20406.18,$20406.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22673.54,$22673.54,NA,NA,NA,NA,$22673.54,NA,$26074.57,$22673.54,$22673.54,NA,NA,NA,NA,$20406.18,$22673.54,$22673.54,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$18419.01,$23535.40,NA,$20465.56,NA,NA,NA,NA,NA,NA,NA,NA,$20465.56,NA,NA,NA,$20465.56,NA,$18419.01,$18419.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20465.56,$20465.56,NA,NA,NA,NA,$20465.56,NA,$23535.40,$20465.56,$20465.56,NA,NA,NA,NA,$18419.01,$20465.56,$20465.56,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$20010.13,$25568.50,NA,$22233.48,NA,NA,NA,NA,NA,NA,NA,NA,$22233.48,NA,NA,NA,$22233.48,NA,$20010.13,$20010.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22233.48,$22233.48,NA,NA,NA,NA,$22233.48,NA,$25568.50,$22233.48,$22233.48,NA,NA,NA,NA,$20010.13,$22233.48,$22233.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$30221.01,$38615.73,NA,$33578.89,NA,NA,NA,NA,NA,NA,NA,NA,$33578.89,NA,NA,NA,$33578.89,NA,$30221.01,$30221.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33578.89,$33578.89,NA,NA,NA,NA,$33578.89,NA,$38615.73,$33578.89,$33578.89,NA,NA,NA,NA,$30221.01,$33578.89,$33578.89,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$24776.59,$31658.98,NA,$27529.54,NA,NA,NA,NA,NA,NA,NA,NA,$27529.54,NA,NA,NA,$27529.54,NA,$24776.59,$24776.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27529.54,$27529.54,NA,NA,NA,NA,$27529.54,NA,$31658.98,$27529.54,$27529.54,NA,NA,NA,NA,$24776.59,$27529.54,$27529.54,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$22363.96,$28576.17,NA,$24848.84,NA,NA,NA,NA,NA,NA,NA,NA,$24848.84,NA,NA,NA,$24848.84,NA,$22363.96,$22363.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24848.84,$24848.84,NA,NA,NA,NA,$24848.84,NA,$28576.17,$24848.84,$24848.84,NA,NA,NA,NA,$22363.96,$24848.84,$24848.84,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$23503.69,$30032.49,NA,$26115.21,NA,NA,NA,NA,NA,NA,NA,NA,$26115.21,NA,NA,NA,$26115.21,NA,$23503.69,$23503.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26115.21,$26115.21,NA,NA,NA,NA,$26115.21,NA,$30032.49,$26115.21,$26115.21,NA,NA,NA,NA,$23503.69,$26115.21,$26115.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$35495.93,$45355.91,NA,$39439.92,NA,NA,NA,NA,NA,NA,NA,NA,$39439.92,NA,NA,NA,$39439.92,NA,$35495.93,$35495.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39439.92,$39439.92,NA,NA,NA,NA,$39439.92,NA,$45355.91,$39439.92,$39439.92,NA,NA,NA,NA,$35495.93,$39439.92,$39439.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$29102.03,$37185.93,NA,$32335.59,NA,NA,NA,NA,NA,NA,NA,NA,$32335.59,NA,NA,NA,$32335.59,NA,$29102.03,$29102.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32335.59,$32335.59,NA,NA,NA,NA,$32335.59,NA,$37185.93,$32335.59,$32335.59,NA,NA,NA,NA,$29102.03,$32335.59,$32335.59,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$26267.40,$33563.91,NA,$29186.01,NA,NA,NA,NA,NA,NA,NA,NA,$29186.01,NA,NA,NA,$29186.01,NA,$26267.40,$26267.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29186.01,$29186.01,NA,NA,NA,NA,$29186.01,NA,$33563.91,$29186.01,$29186.01,NA,NA,NA,NA,$26267.40,$29186.01,$29186.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$16018.48,$20468.06,NA,$17798.31,NA,NA,NA,NA,NA,NA,NA,NA,$17798.31,NA,NA,NA,$17798.31,NA,$16018.48,$16018.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17798.31,$17798.31,NA,NA,NA,NA,$17798.31,NA,$20468.06,$17798.31,$17798.31,NA,NA,NA,NA,$16018.48,$17798.31,$17798.31,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$22318.99,$28518.71,NA,$24798.88,NA,NA,NA,NA,NA,NA,NA,NA,$24798.88,NA,NA,NA,$24798.88,NA,$22318.99,$22318.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24798.88,$24798.88,NA,NA,NA,NA,$24798.88,NA,$28518.71,$24798.88,$24798.88,NA,NA,NA,NA,$22318.99,$24798.88,$24798.88,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$17874.22,$22839.28,NA,$19860.24,NA,NA,NA,NA,NA,NA,NA,NA,$19860.24,NA,NA,NA,$19860.24,NA,$17874.22,$17874.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19860.24,$19860.24,NA,NA,NA,NA,$19860.24,NA,$22839.28,$19860.24,$19860.24,NA,NA,NA,NA,$17874.22,$19860.24,$19860.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$16698.17,$21336.55,NA,$18553.52,NA,NA,NA,NA,NA,NA,NA,NA,$18553.52,NA,NA,NA,$18553.52,NA,$16698.17,$16698.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18553.52,$18553.52,NA,NA,NA,NA,$18553.52,NA,$21336.55,$18553.52,$18553.52,NA,NA,NA,NA,$16698.17,$18553.52,$18553.52,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$19752.44,$25239.23,NA,$21947.15,NA,NA,NA,NA,NA,NA,NA,NA,$21947.15,NA,NA,NA,$21947.15,NA,$19752.44,$19752.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21947.15,$21947.15,NA,NA,NA,NA,$21947.15,NA,$25239.23,$21947.15,$21947.15,NA,NA,NA,NA,$19752.44,$21947.15,$21947.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$27521.28,$35166.08,NA,$30579.20,NA,NA,NA,NA,NA,NA,NA,NA,$30579.20,NA,NA,NA,$30579.20,NA,$27521.28,$27521.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30579.20,$30579.20,NA,NA,NA,NA,$30579.20,NA,$35166.08,$30579.20,$30579.20,NA,NA,NA,NA,$27521.28,$30579.20,$30579.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$22040.55,$28162.92,NA,$24489.49,NA,NA,NA,NA,NA,NA,NA,NA,$24489.49,NA,NA,NA,$24489.49,NA,$22040.55,$22040.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24489.49,$24489.49,NA,NA,NA,NA,$24489.49,NA,$28162.92,$24489.49,$24489.49,NA,NA,NA,NA,$22040.55,$24489.49,$24489.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$20591.24,$26311.03,NA,$22879.15,NA,NA,NA,NA,NA,NA,NA,NA,$22879.15,NA,NA,NA,$22879.15,NA,$20591.24,$20591.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22879.15,$22879.15,NA,NA,NA,NA,$22879.15,NA,$26311.03,$22879.15,$22879.15,NA,NA,NA,NA,$20591.24,$22879.15,$22879.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$22934.69,$29305.44,NA,$25482.99,NA,NA,NA,NA,NA,NA,NA,NA,$25482.99,NA,NA,NA,$25482.99,NA,$22934.69,$22934.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25482.99,$25482.99,NA,NA,NA,NA,$25482.99,NA,$29305.44,$25482.99,$25482.99,NA,NA,NA,NA,$22934.69,$25482.99,$25482.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$31953.95,$40830.04,NA,$35504.39,NA,NA,NA,NA,NA,NA,NA,NA,$35504.39,NA,NA,NA,$35504.39,NA,$31953.95,$31953.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35504.39,$35504.39,NA,NA,NA,NA,$35504.39,NA,$40830.04,$35504.39,$35504.39,NA,NA,NA,NA,$31953.95,$35504.39,$35504.39,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$25589.45,$32697.63,NA,$28432.72,NA,NA,NA,NA,NA,NA,NA,NA,$28432.72,NA,NA,NA,$28432.72,NA,$25589.45,$25589.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28432.72,$28432.72,NA,NA,NA,NA,$28432.72,NA,$32697.63,$28432.72,$28432.72,NA,NA,NA,NA,$25589.45,$28432.72,$28432.72,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$23906.66,$30547.40,NA,$26562.95,NA,NA,NA,NA,NA,NA,NA,NA,$26562.95,NA,NA,NA,$26562.95,NA,$23906.66,$23906.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26562.95,$26562.95,NA,NA,NA,NA,$26562.95,NA,$30547.40,$26562.95,$26562.95,NA,NA,NA,NA,$23906.66,$26562.95,$26562.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$26590.82,$33977.16,NA,$29545.35,NA,NA,NA,NA,NA,NA,NA,NA,$29545.35,NA,NA,NA,$29545.35,NA,$26590.82,$26590.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29545.35,$29545.35,NA,NA,NA,NA,$29545.35,NA,$33977.16,$29545.35,$29545.35,NA,NA,NA,NA,$26590.82,$29545.35,$29545.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$37047.28,$47338.19,NA,$41163.64,NA,NA,NA,NA,NA,NA,NA,NA,$41163.64,NA,NA,NA,$41163.64,NA,$37047.28,$37047.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41163.64,$41163.64,NA,NA,NA,NA,$41163.64,NA,$47338.19,$41163.64,$41163.64,NA,NA,NA,NA,$37047.28,$41163.64,$41163.64,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$29667.57,$37908.56,NA,$32963.97,NA,NA,NA,NA,NA,NA,NA,NA,$32963.97,NA,NA,NA,$32963.97,NA,$29667.57,$29667.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32963.97,$32963.97,NA,NA,NA,NA,$32963.97,NA,$37908.56,$32963.97,$32963.97,NA,NA,NA,NA,$29667.57,$32963.97,$32963.97,NA,NA
