Encompass Health Rehabilitation Hospital of Ocala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$18399.54,$22332.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38787.32,NA,NA,NA,$38787.32,NA,NA,$38787.32,NA,$38787.32,NA,NA,$44605.41,$38787.32,NA,$38787.32,NA,$36847.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$18142.49,$22020.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38245.46,NA,NA,NA,$38245.46,NA,NA,$38245.46,NA,$38245.46,NA,NA,$43982.28,$38245.46,NA,$38245.46,NA,$36333.18,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$27356.78,$33204.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57669.73,NA,NA,NA,$57669.73,NA,NA,$57669.73,NA,$57669.73,NA,NA,$66320.19,$57669.73,NA,$57669.73,NA,$54786.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$37668.95,$45720.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$79408.38,NA,NA,NA,$79408.38,NA,NA,$79408.38,NA,$79408.38,NA,NA,$91319.64,$79408.38,NA,$79408.38,NA,$75437.97,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$29294.04,$35555.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61753.58,NA,NA,NA,$61753.58,NA,NA,$61753.58,NA,$61753.58,NA,NA,$71016.61,$61753.58,NA,$61753.58,NA,$58665.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$28884.51,$35058.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60890.27,NA,NA,NA,$60890.27,NA,NA,$60890.27,NA,$60890.27,NA,NA,$70023.81,$60890.27,NA,$60890.27,NA,$57845.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$40277.12,$48886.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$84906.57,NA,NA,NA,$84906.57,NA,NA,$84906.57,NA,$84906.57,NA,NA,$97642.55,$84906.57,NA,$84906.57,NA,$80661.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$55458.55,$67312.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$116909.93,NA,NA,NA,$116909.93,NA,NA,$116909.93,NA,$116909.93,NA,NA,$134446.43,$116909.93,NA,$116909.93,NA,$111064.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$43129.27,$52347.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$90919.07,NA,NA,NA,$90919.07,NA,NA,$90919.07,NA,$90919.07,NA,NA,$104556.92,$90919.07,NA,$90919.07,NA,$86373.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$42526.60,$51616.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$89648.60,NA,NA,NA,$89648.60,NA,NA,$89648.60,NA,$89648.60,NA,NA,$103095.90,$89648.60,NA,$89648.60,NA,$85166.17,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$12027.23,$14597.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25354.11,NA,NA,NA,$25354.11,NA,NA,$25354.11,NA,$25354.11,NA,NA,$29157.22,$25354.11,NA,$25354.11,NA,$24086.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$17597.91,$21359.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37097.45,NA,NA,NA,$37097.45,NA,NA,$37097.45,NA,$37097.45,NA,NA,$42662.07,$37097.45,NA,$37097.45,NA,$35242.57,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$14279.61,$17331.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30102.27,NA,NA,NA,$30102.27,NA,NA,$30102.27,NA,$30102.27,NA,NA,$34617.60,$30102.27,NA,$30102.27,NA,$28597.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$13077.18,$15872.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27567.47,NA,NA,NA,$27567.47,NA,NA,$27567.47,NA,$27567.47,NA,NA,$31702.59,$27567.47,NA,$27567.47,NA,$26189.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$14786.43,$17946.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31170.67,NA,NA,NA,$31170.67,NA,NA,$31170.67,NA,$31170.67,NA,NA,$35846.27,$31170.67,NA,$31170.67,NA,$29612.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$21636.52,$26261.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45611.07,NA,NA,NA,$45611.07,NA,NA,$45611.07,NA,$45611.07,NA,NA,$52452.72,$45611.07,NA,$45611.07,NA,$43330.52,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$17557.25,$21309.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37011.74,NA,NA,NA,$37011.74,NA,NA,$37011.74,NA,$37011.74,NA,NA,$42563.50,$37011.74,NA,$37011.74,NA,$35161.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$16078.90,$19515.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33895.28,NA,NA,NA,$33895.28,NA,NA,$33895.28,NA,$33895.28,NA,NA,$38979.57,$33895.28,NA,$33895.28,NA,$32200.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$17502.07,$21243.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36895.40,NA,NA,NA,$36895.40,NA,NA,$36895.40,NA,$36895.40,NA,NA,$42429.71,$36895.40,NA,$36895.40,NA,$35050.63,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$25608.32,$31081.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53983.87,NA,NA,NA,$53983.87,NA,NA,$53983.87,NA,$53983.87,NA,NA,$62081.44,$53983.87,NA,$53983.87,NA,$51284.67,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-C,NA,NA,$20779.71,$25221.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43804.87,NA,NA,NA,$43804.87,NA,NA,$43804.87,NA,$43804.87,NA,NA,$50375.60,$43804.87,NA,$43804.87,NA,$41614.63,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-D,NA,NA,$19031.25,$23099.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40119.00,NA,NA,NA,$40119.00,NA,NA,$40119.00,NA,$40119.00,NA,NA,$46136.86,$40119.00,NA,$40119.00,NA,$38113.06,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-A,NA,NA,$19697.81,$23908.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41524.16,NA,NA,NA,$41524.16,NA,NA,$41524.16,NA,$41524.16,NA,NA,$47752.79,$41524.16,NA,$41524.16,NA,$39447.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-B,NA,NA,$28822.07,$34982.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60758.64,NA,NA,NA,$60758.64,NA,NA,$60758.64,NA,$60758.64,NA,NA,$69872.43,$60758.64,NA,$60758.64,NA,$57720.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-C,NA,NA,$23386.43,$28385.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49300.00,NA,NA,NA,$49300.00,NA,NA,$49300.00,NA,$49300.00,NA,NA,$56694.99,$49300.00,NA,$49300.00,NA,$46834.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-D,NA,NA,$21418.69,$25996.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45151.87,NA,NA,NA,$45151.87,NA,NA,$45151.87,NA,$45151.87,NA,NA,$51924.64,$45151.87,NA,$45151.87,NA,$42894.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-A,NA,NA,$21177.62,$25704.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44643.68,NA,NA,NA,$44643.68,NA,NA,$44643.68,NA,$44643.68,NA,NA,$51340.23,$44643.68,NA,$44643.68,NA,$42411.50,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-B,NA,NA,$30987.32,$37610.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65323.11,NA,NA,NA,$65323.11,NA,NA,$65323.11,NA,$65323.11,NA,NA,$75121.57,$65323.11,NA,$65323.11,NA,$62056.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-C,NA,NA,$25145.06,$30519.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53007.29,NA,NA,NA,$53007.29,NA,NA,$53007.29,NA,$53007.29,NA,NA,$60958.39,$53007.29,NA,$53007.29,NA,$50356.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-D,NA,NA,$23029.19,$27951.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48546.90,NA,NA,NA,$48546.90,NA,NA,$48546.90,NA,$48546.90,NA,NA,$55828.94,$48546.90,NA,$48546.90,NA,$46119.56,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-A,NA,NA,$16369.34,$19868.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34507.55,NA,NA,NA,$34507.55,NA,NA,$34507.55,NA,$34507.55,NA,NA,$39683.68,$34507.55,NA,$34507.55,NA,$32782.17,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-B,NA,NA,$26187.75,$31785.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55205.35,NA,NA,NA,$55205.35,NA,NA,$55205.35,NA,$55205.35,NA,NA,$63486.14,$55205.35,NA,$55205.35,NA,$52445.07,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-C,NA,NA,$19911.29,$24167.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41974.18,NA,NA,NA,$41974.18,NA,NA,$41974.18,NA,$41974.18,NA,NA,$48270.31,$41974.18,NA,$41974.18,NA,$39875.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-D,NA,NA,$16369.34,$19868.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34507.55,NA,NA,NA,$34507.55,NA,NA,$34507.55,NA,$34507.55,NA,NA,$39683.68,$34507.55,NA,$34507.55,NA,$32782.17,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-A,NA,NA,$21835.47,$26502.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46030.48,NA,NA,NA,$46030.48,NA,NA,$46030.48,NA,$46030.48,NA,NA,$52935.04,$46030.48,NA,$46030.48,NA,$43728.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-B,NA,NA,$34932.98,$42399.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$73640.80,NA,NA,NA,$73640.80,NA,NA,$73640.80,NA,$73640.80,NA,NA,$84686.92,$73640.80,NA,$73640.80,NA,$69958.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-C,NA,NA,$26559.52,$32236.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55989.05,NA,NA,NA,$55989.05,NA,NA,$55989.05,NA,$55989.05,NA,NA,$64387.41,$55989.05,NA,$55989.05,NA,$53189.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-D,NA,NA,$21835.47,$26502.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46030.48,NA,NA,NA,$46030.48,NA,NA,$46030.48,NA,$46030.48,NA,NA,$52935.04,$46030.48,NA,$46030.48,NA,$43728.95,NA,NA
