Encompass Health Rehabilitation Hospital of Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,INTEGRA GROUP WC (INTW) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTH PLAN (VIS) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$25086.53,$30367.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26406.88,NA,NA,NA,NA,NA,NA,NA,$26406.88,NA,NA,NA,NA,NA,NA,NA,$26406.88,NA,NA,$30367.91,$26406.88,NA,$26406.88,$26406.88,NA,$25086.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$20090.67,$24320.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21148.07,NA,NA,NA,NA,NA,NA,NA,$21148.07,NA,NA,NA,NA,NA,NA,NA,$21148.07,NA,NA,$24320.28,$21148.07,NA,$21148.07,$21148.07,NA,$20090.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$18769.58,$22721.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19757.45,NA,NA,NA,NA,NA,NA,NA,$19757.45,NA,NA,NA,NA,NA,NA,NA,$19757.45,NA,NA,$22721.06,$19757.45,NA,$19757.45,$19757.45,NA,$18769.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$20905.71,$25306.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22006.01,NA,NA,NA,NA,NA,NA,NA,$22006.01,NA,NA,NA,NA,NA,NA,NA,$22006.01,NA,NA,$25306.91,$22006.01,NA,$22006.01,$22006.01,NA,$20905.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$29127.05,$35259.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30660.05,NA,NA,NA,NA,NA,NA,NA,$30660.05,NA,NA,NA,NA,NA,NA,NA,$30660.05,NA,NA,$35259.06,$30660.05,NA,$30660.05,$30660.05,NA,$29127.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$23325.60,$28236.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24553.27,NA,NA,NA,NA,NA,NA,NA,$24553.27,NA,NA,NA,NA,NA,NA,NA,$24553.27,NA,NA,$28236.26,$24553.27,NA,$24553.27,$24553.27,NA,$23325.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$21791.69,$26379.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22938.62,NA,NA,NA,NA,NA,NA,NA,$22938.62,NA,NA,NA,NA,NA,NA,NA,$22938.62,NA,NA,$26379.41,$22938.62,NA,$22938.62,$22938.62,NA,$21791.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$24238.39,$29341.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25514.09,NA,NA,NA,NA,NA,NA,NA,$25514.09,NA,NA,NA,NA,NA,NA,NA,$25514.09,NA,NA,$29341.20,$25514.09,NA,$25514.09,$25514.09,NA,$24238.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$33769.79,$40879.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35547.14,NA,NA,NA,NA,NA,NA,NA,$35547.14,NA,NA,NA,NA,NA,NA,NA,$35547.14,NA,NA,$40879.21,$35547.14,NA,$35547.14,$35547.14,NA,$33769.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$27042.94,$32736.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28466.26,NA,NA,NA,NA,NA,NA,NA,$28466.26,NA,NA,NA,NA,NA,NA,NA,$28466.26,NA,NA,$32736.20,$28466.26,NA,$28466.26,$28466.26,NA,$27042.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$25266.25,$30585.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26596.05,NA,NA,NA,NA,NA,NA,NA,$26596.05,NA,NA,NA,NA,NA,NA,NA,$26596.05,NA,NA,$30585.46,$26596.05,NA,$26596.05,$26596.05,NA,$25266.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$12655.98,$15320.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13322.09,NA,NA,NA,NA,NA,NA,NA,$13322.09,NA,NA,NA,NA,NA,NA,NA,$13322.09,NA,NA,$15320.40,$13322.09,NA,$13322.09,$13322.09,NA,$12655.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$15589.81,$18871.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16410.33,NA,NA,NA,NA,NA,NA,NA,$16410.33,NA,NA,NA,NA,NA,NA,NA,$16410.33,NA,NA,$18871.88,$16410.33,NA,$16410.33,$16410.33,NA,$15589.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$15589.81,$18871.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16410.33,NA,NA,NA,NA,NA,NA,NA,$16410.33,NA,NA,NA,NA,NA,NA,NA,$16410.33,NA,NA,$18871.88,$16410.33,NA,$16410.33,$16410.33,NA,$15589.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$14060.63,$17020.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14800.66,NA,NA,NA,NA,NA,NA,NA,$14800.66,NA,NA,NA,NA,NA,NA,NA,$14800.66,NA,NA,$17020.76,$14800.66,NA,$14800.66,$14800.66,NA,$14060.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$14175.71,$17160.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14921.80,NA,NA,NA,NA,NA,NA,NA,$14921.80,NA,NA,NA,NA,NA,NA,NA,$14921.80,NA,NA,$17160.07,$14921.80,NA,$14921.80,$14921.80,NA,$14175.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$17464.25,$21140.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18383.42,NA,NA,NA,NA,NA,NA,NA,$18383.42,NA,NA,NA,NA,NA,NA,NA,$18383.42,NA,NA,$21140.93,$18383.42,NA,$18383.42,$18383.42,NA,$17464.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$17464.25,$21140.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18383.42,NA,NA,NA,NA,NA,NA,NA,$18383.42,NA,NA,NA,NA,NA,NA,NA,$18383.42,NA,NA,$21140.93,$18383.42,NA,$18383.42,$18383.42,NA,$17464.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$15750.62,$19066.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16579.59,NA,NA,NA,NA,NA,NA,NA,$16579.59,NA,NA,NA,NA,NA,NA,NA,$16579.59,NA,NA,$19066.53,$16579.59,NA,$16579.59,$16579.59,NA,$15750.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$17323.94,$20971.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18235.73,NA,NA,NA,NA,NA,NA,NA,$18235.73,NA,NA,NA,NA,NA,NA,NA,$18235.73,NA,NA,$20971.09,$18235.73,NA,$18235.73,$18235.73,NA,$17323.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$21342.39,$25835.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22465.67,NA,NA,NA,NA,NA,NA,NA,$22465.67,NA,NA,NA,NA,NA,NA,NA,$22465.67,NA,NA,$25835.53,$22465.67,NA,$22465.67,$22465.67,NA,$21342.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$21342.39,$25835.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22465.67,NA,NA,NA,NA,NA,NA,NA,$22465.67,NA,NA,NA,NA,NA,NA,NA,$22465.67,NA,NA,$25835.53,$22465.67,NA,$22465.67,$22465.67,NA,$21342.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$19247.25,$23299.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20260.26,NA,NA,NA,NA,NA,NA,NA,$20260.26,NA,NA,NA,NA,NA,NA,NA,$20260.26,NA,NA,$23299.30,$20260.26,NA,$20260.26,$20260.26,NA,$19247.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$22012.40,$26646.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23170.94,NA,NA,NA,NA,NA,NA,NA,$23170.94,NA,NA,NA,NA,NA,NA,NA,$23170.94,NA,NA,$26646.58,$23170.94,NA,$23170.94,$23170.94,NA,$22012.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$27117.04,$32825.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28544.25,NA,NA,NA,NA,NA,NA,NA,$28544.25,NA,NA,NA,NA,NA,NA,NA,$28544.25,NA,NA,$32825.89,$28544.25,NA,$28544.25,$28544.25,NA,$27117.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$27117.04,$32825.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28544.25,NA,NA,NA,NA,NA,NA,NA,$28544.25,NA,NA,NA,NA,NA,NA,NA,$28544.25,NA,NA,$32825.89,$28544.25,NA,$28544.25,$28544.25,NA,$27117.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$24455.94,$29604.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25743.09,NA,NA,NA,NA,NA,NA,NA,$25743.09,NA,NA,NA,NA,NA,NA,NA,$25743.09,NA,NA,$29604.56,$25743.09,NA,$25743.09,$25743.09,NA,$24455.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$14238.77,$17236.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14988.18,NA,NA,NA,NA,NA,NA,NA,$14988.18,NA,NA,NA,NA,NA,NA,NA,$14988.18,NA,NA,$17236.41,$14988.18,NA,$14988.18,$14988.18,NA,$14238.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$21928.84,$26545.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23082.99,NA,NA,NA,NA,NA,NA,NA,$23082.99,NA,NA,NA,NA,NA,NA,NA,$23082.99,NA,NA,$26545.44,$23082.99,NA,$23082.99,$23082.99,NA,$21928.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$17202.55,$20824.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18107.95,NA,NA,NA,NA,NA,NA,NA,$18107.95,NA,NA,NA,NA,NA,NA,NA,$18107.95,NA,NA,$20824.14,$18107.95,NA,$18107.95,$18107.95,NA,$17202.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$15637.11,$18929.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16460.11,NA,NA,NA,NA,NA,NA,NA,$16460.11,NA,NA,NA,NA,NA,NA,NA,$16460.11,NA,NA,$18929.13,$16460.11,NA,$16460.11,$16460.11,NA,$15637.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$17390.15,$21051.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18305.43,NA,NA,NA,NA,NA,NA,NA,$18305.43,NA,NA,NA,NA,NA,NA,NA,$18305.43,NA,NA,$21051.24,$18305.43,NA,$18305.43,$18305.43,NA,$17390.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$26781.25,$32419.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28190.79,NA,NA,NA,NA,NA,NA,NA,$28190.79,NA,NA,NA,NA,NA,NA,NA,$28190.79,NA,NA,$32419.41,$28190.79,NA,$28190.79,$28190.79,NA,$26781.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$21011.33,$25434.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22117.19,NA,NA,NA,NA,NA,NA,NA,$22117.19,NA,NA,NA,NA,NA,NA,NA,$22117.19,NA,NA,$25434.77,$22117.19,NA,$22117.19,$22117.19,NA,$21011.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$19099.06,$23119.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20104.27,NA,NA,NA,NA,NA,NA,NA,$20104.27,NA,NA,NA,NA,NA,NA,NA,$20104.27,NA,NA,$23119.91,$20104.27,NA,$20104.27,$20104.27,NA,$19099.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$20615.63,$24955.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21700.67,NA,NA,NA,NA,NA,NA,NA,$21700.67,NA,NA,NA,NA,NA,NA,NA,$21700.67,NA,NA,$24955.77,$21700.67,NA,$21700.67,$21700.67,NA,$20615.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$31750.31,$38434.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33421.38,NA,NA,NA,NA,NA,NA,NA,$33421.38,NA,NA,NA,NA,NA,NA,NA,$33421.38,NA,NA,$38434.59,$33421.38,NA,$33421.38,$33421.38,NA,$31750.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$24906.81,$30150.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26217.70,NA,NA,NA,NA,NA,NA,NA,$26217.70,NA,NA,NA,NA,NA,NA,NA,$26217.70,NA,NA,$30150.35,$26217.70,NA,$26217.70,$26217.70,NA,$24906.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$22641.41,$27408.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23833.06,NA,NA,NA,NA,NA,NA,NA,$23833.06,NA,NA,NA,NA,NA,NA,NA,$23833.06,NA,NA,$27408.02,$23833.06,NA,$23833.06,$23833.06,NA,$22641.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$22805.36,$27606.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24005.65,NA,NA,NA,NA,NA,NA,NA,$24005.65,NA,NA,NA,NA,NA,NA,NA,$24005.65,NA,NA,$27606.49,$24005.65,NA,$24005.65,$24005.65,NA,$22805.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$35122.41,$42516.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36970.95,NA,NA,NA,NA,NA,NA,NA,$36970.95,NA,NA,NA,NA,NA,NA,NA,$36970.95,NA,NA,$42516.60,$36970.95,NA,$36970.95,$36970.95,NA,$35122.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$27553.72,$33354.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29003.92,NA,NA,NA,NA,NA,NA,NA,$29003.92,NA,NA,NA,NA,NA,NA,NA,$29003.92,NA,NA,$33354.51,$29003.92,NA,$29003.92,$29003.92,NA,$27553.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$25047.12,$30320.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26365.39,NA,NA,NA,NA,NA,NA,NA,$26365.39,NA,NA,NA,NA,NA,NA,NA,$26365.39,NA,NA,$30320.20,$26365.39,NA,$26365.39,$26365.39,NA,$25047.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$25023.47,$30291.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26340.50,NA,NA,NA,NA,NA,NA,NA,$26340.50,NA,NA,NA,NA,NA,NA,NA,$26340.50,NA,NA,$30291.57,$26340.50,NA,$26340.50,$26340.50,NA,$25023.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$38540.22,$46653.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40568.65,NA,NA,NA,NA,NA,NA,NA,$40568.65,NA,NA,NA,NA,NA,NA,NA,$40568.65,NA,NA,$46653.94,$40568.65,NA,$40568.65,$40568.65,NA,$38540.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$30235.32,$36600.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31826.65,NA,NA,NA,NA,NA,NA,NA,$31826.65,NA,NA,NA,NA,NA,NA,NA,$31826.65,NA,NA,$36600.65,$31826.65,NA,$31826.65,$31826.65,NA,$30235.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$27484.36,$33270.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28930.90,NA,NA,NA,NA,NA,NA,NA,$28930.90,NA,NA,NA,NA,NA,NA,NA,$28930.90,NA,NA,$33270.54,$28930.90,NA,$28930.90,$28930.90,NA,$27484.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$12895.61,$15610.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13574.33,NA,NA,NA,NA,NA,NA,NA,$13574.33,NA,NA,NA,NA,NA,NA,NA,$13574.33,NA,NA,$15610.47,$13574.33,NA,$13574.33,$13574.33,NA,$12895.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$19518.40,$23627.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20545.69,NA,NA,NA,NA,NA,NA,NA,$20545.69,NA,NA,NA,NA,NA,NA,NA,$20545.69,NA,NA,$23627.54,$20545.69,NA,$20545.69,$20545.69,NA,$19518.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$15482.61,$18742.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16297.49,NA,NA,NA,NA,NA,NA,NA,$16297.49,NA,NA,NA,NA,NA,NA,NA,$16297.49,NA,NA,$18742.11,$16297.49,NA,$16297.49,$16297.49,NA,$15482.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$13904.56,$16831.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14636.38,NA,NA,NA,NA,NA,NA,NA,$14636.38,NA,NA,NA,NA,NA,NA,NA,$14636.38,NA,NA,$16831.83,$14636.38,NA,$14636.38,$14636.38,NA,$13904.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$16423.77,$19881.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17288.18,NA,NA,NA,NA,NA,NA,NA,$17288.18,NA,NA,NA,NA,NA,NA,NA,$17288.18,NA,NA,$19881.41,$17288.18,NA,$17288.18,$17288.18,NA,$16423.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$24856.37,$30089.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26164.60,NA,NA,NA,NA,NA,NA,NA,$26164.60,NA,NA,NA,NA,NA,NA,NA,$26164.60,NA,NA,$30089.28,$26164.60,NA,$26164.60,$26164.60,NA,$24856.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$19715.46,$23866.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20753.12,NA,NA,NA,NA,NA,NA,NA,$20753.12,NA,NA,NA,NA,NA,NA,NA,$20753.12,NA,NA,$23866.09,$20753.12,NA,$20753.12,$20753.12,NA,$19715.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$17707.03,$21434.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18638.98,NA,NA,NA,NA,NA,NA,NA,$18638.98,NA,NA,NA,NA,NA,NA,NA,$18638.98,NA,NA,$21434.82,$18638.98,NA,$18638.98,$18638.98,NA,$17707.03,NA,NA,NA,NA
